"","YEAR","SPECIES","AI.D","VAR","SAMPLE_N","LCI","UCI","life.stage","life.stage.1"
"1",1974,"Alewife",0,0,1675,0,0,"1.YOY","1.YOY"
"2",1975,"Alewife",0,0,880,0,0,"1.YOY","1.YOY"
"3",1976,"Alewife",0,0,866,0,0,"1.YOY","1.YOY"
"4",1977,"Alewife",0,0,818,0,0,"1.YOY","1.YOY"
"5",1978,"Alewife",0,0,872,0,0,"1.YOY","1.YOY"
"6",1979,"Alewife",0,0,2136,0,0,"1.YOY","1.YOY"
"7",1980,"Alewife",0.0016294073795732,2.3075224739437e-08,2023,0.00133167296208167,0.00192714179706473,"1.YOY","1.YOY"
"8",1981,"Alewife",0.00162827679179045,3.33616094279137e-08,1154,0.00127027964267014,0.00198627394091077,"1.YOY","1.YOY"
"9",1982,"Alewife",0.00050266791592999,4.04467464274392e-09,1000,0.000378016313021865,0.000627319518838116,"1.YOY","1.YOY"
"10",1983,"Alewife",0.000909556153714903,1.92490416765787e-08,1199,0.00063762395903258,0.00118148834839723,"1.YOY","1.YOY"
"11",1984,"Alewife",0.000273164700682967,1.90895144872934e-09,1641,0.000187529264761622,0.000358800136604311,"1.YOY","1.YOY"
"12",1985,"Alewife",0.000766527333451891,1.3743180839095e-08,1889,0.000536753959207904,0.000996300707695878,"1.YOY","1.YOY"
"13",1986,"Alewife",0.000336947399549265,2.90292022121109e-09,2222,0.000231345040097382,0.000442549759001147,"1.YOY","1.YOY"
"14",1987,"Alewife",0.000632642006276552,1.66294434961791e-08,2065,0.000379889815119044,0.00088539419743406,"1.YOY","1.YOY"
"15",1988,"Alewife",0.000311553726276191,3.5780819088943e-09,1733,0.000194312268330598,0.000428795184221785,"1.YOY","1.YOY"
"16",1989,"Alewife",0.000275195586324093,2.58382515365865e-09,1725,0.000175566159394621,0.000374825013253565,"1.YOY","1.YOY"
"17",1990,"Alewife",0.000369430019897156,3.12652254506382e-09,1725,0.000259836000858172,0.00047902403893614,"1.YOY","1.YOY"
"18",1991,"Alewife",0.000649547435059243,1.19646148041414e-08,1716,0.000435156986970739,0.000863937883147747,"1.YOY","1.YOY"
"19",1992,"Alewife",0.000402277904984089,4.63999874518884e-09,1722,0.000268767533928064,0.000535788276040114,"1.YOY","1.YOY"
"20",1993,"Alewife",0.000257426745889686,1.20893208286511e-09,1707,0.000189278132627679,0.000325575359151694,"1.YOY","1.YOY"
"21",1994,"Alewife",0.000214708186585384,9.07352661805903e-10,1706,0.000155668488198675,0.000273747884972093,"1.YOY","1.YOY"
"22",1995,"Alewife",0.000183127356814443,7.96901753722668e-10,1720,0.000127797638063115,0.00023845707556577,"1.YOY","1.YOY"
"23",1996,"Alewife",0.000610982858047737,7.36021992134003e-09,1720,0.000442831078842699,0.000779134637252775,"1.YOY","1.YOY"
"24",1997,"Alewife",0.000441245181668326,3.43878312715823e-09,2040,0.000326308550165175,0.000556181813171476,"1.YOY","1.YOY"
"25",1998,"Alewife",5.06024713488684e-05,1.35379932132968e-10,2151,2.7797306423308e-05,7.34076362744288e-05,"1.YOY","1.YOY"
"26",1999,"Alewife",0.00136495704195416,1.60209608526372e-08,2099,0.00111687213066068,0.00161304195324763,"1.YOY","1.YOY"
"27",2000,"Alewife",0.000280133290329875,1.51037328808943e-09,2143,0.000203960788575473,0.000356305792084277,"1.YOY","1.YOY"
"28",2001,"Alewife",0.000825721413431016,3.83588018196071e-08,2098,0.000441847510866381,0.00120959531599565,"1.YOY","1.YOY"
"29",2002,"Alewife",9.16844954922147e-05,2.04748163877262e-10,2142,6.36388087231073e-05,0.000119730182261322,"1.YOY","1.YOY"
"30",2003,"Alewife",0.000373421010114266,2.48053461575148e-09,2144,0.000275803277197183,0.000471038743031348,"1.YOY","1.YOY"
"31",2004,"Alewife",0.000126238026989479,4.84875480324383e-10,2139,8.30790459401757e-05,0.000169397008038783,"1.YOY","1.YOY"
"32",2005,"Alewife",0.00145253685628152,3.89695825558819e-08,2142,0.00106561884384649,0.00183945486871655,"1.YOY","1.YOY"
"33",2006,"Alewife",0.000141914354130548,7.04824405458346e-10,2143,8.98792367961099e-05,0.000193949471464987,"1.YOY","1.YOY"
"34",2007,"Alewife",0.00124070052060459,1.49650319877186e-07,2140,0.00048248111380983,0.00199891992739935,"1.YOY","1.YOY"
"35",2008,"Alewife",0.000716457677744379,3.16494681719774e-08,2142,0.000367767848627629,0.00106514750686113,"1.YOY","1.YOY"
"36",2009,"Alewife",7.74872961081558e-05,3.57419074327871e-10,2140,4.04324568029051e-05,0.000114542135413406,"1.YOY","1.YOY"
"37",2010,"Alewife",0.0010516423496018,1.88213626543611e-08,2135,0.000782748045510038,0.00132053665369356,"1.YOY","1.YOY"
"38",2011,"Alewife",0.00028966970430739,1.74133830867783e-09,2094,0.000207880186356636,0.000371459222258145,"1.YOY","1.YOY"
"39",2012,"Alewife",0.000424939198278327,2.37956603024461e-09,2143,0.000329328838683837,0.000520549557872817,"1.YOY","1.YOY"
"40",2013,"Alewife",0.000170152426058749,1.13993811766577e-09,2136,0.000103977005600509,0.000236327846516989,"1.YOY","1.YOY"
"41",2014,"Alewife",0.00116118466451723,1.69419459209272e-08,2132,0.000906068652769955,0.0014163006762645,"1.YOY","1.YOY"
"42",2015,"Alewife",0.00125447421429103,3.26191770270207e-08,2134,0.000900482928427937,0.00160846550015411,"1.YOY","1.YOY"
"43",2016,"Alewife",0.000282185983140569,3.62086786537894e-09,2132,0.000164245633846361,0.000400126332434777,"1.YOY","1.YOY"
"44",2017,"Alewife",0.000435099538700433,3.09246252277878e-09,2135,0.000326104107477345,0.000544094969923521,"1.YOY","1.YOY"
"45",2018,"Alewife",0.000946047953115971,1.06848979563388e-08,2137,0.000743447104181247,0.0011486488020507,"1.YOY","1.YOY"
"46",2023,"Alewife",4.55720499534826e-05,5.02120620720103e-10,1793,1.65227563076607e-06,8.94918242761991e-05,"1.YOY","1.YOY"
"47",2024,"Alewife",0.000369837806991536,2.66179429539227e-09,2025,0.000268716350489075,0.000470959263493996,"1.YOY","1.YOY"
"48",1974,"Alewife",0,0,1675,0,0,"2.YEARLING","2.YEARLING"
"49",1975,"Alewife",0,0,880,0,0,"2.YEARLING","2.YEARLING"
"50",1976,"Alewife",0,0,866,0,0,"2.YEARLING","2.YEARLING"
"51",1977,"Alewife",0,0,818,0,0,"2.YEARLING","2.YEARLING"
"52",1978,"Alewife",0,0,872,0,0,"2.YEARLING","2.YEARLING"
"53",1979,"Alewife",0,0,2136,0,0,"2.YEARLING","2.YEARLING"
"54",1980,"Alewife",4.97271933024486e-05,4.66186879471731e-10,2023,7.40812530492997e-06,9.20462612999672e-05,"2.YEARLING","2.YEARLING"
"55",1981,"Alewife",0.00117885133554951,1.37543504757756e-06,1154,-0.00111981594763306,0.00347751861873208,"2.YEARLING","2.YEARLING"
"56",1982,"Alewife",5.13392921043619e-05,3.29315328581652e-10,1000,1.5771079241199e-05,8.69075049675249e-05,"2.YEARLING","2.YEARLING"
"57",1983,"Alewife",2.56671710395756e-05,3.79560359835566e-11,1199,1.35919108836025e-05,3.77424311955486e-05,"2.YEARLING","2.YEARLING"
"58",1984,"Alewife",5.1774649589762e-05,2.01419620129312e-10,1641,2.39578630627607e-05,7.95914361167634e-05,"2.YEARLING","2.YEARLING"
"59",1985,"Alewife",4.14698798187164e-06,5.40959475069425e-12,1889,-4.11684982299738e-07,8.70566094604301e-06,"2.YEARLING","2.YEARLING"
"60",1986,"Alewife",1.57811474950685e-05,9.72583208450951e-12,2222,9.6686392917324e-06,2.18936556984047e-05,"2.YEARLING","2.YEARLING"
"61",1987,"Alewife",3.28512642598715e-05,1.65494656633584e-10,2065,7.63689786046389e-06,5.80656306592792e-05,"2.YEARLING","2.YEARLING"
"62",1988,"Alewife",2.66899349076952e-05,1.7373604300939e-10,1733,8.55376989571756e-07,5.25244928258186e-05,"2.YEARLING","2.YEARLING"
"63",1989,"Alewife",4.47559623635037e-06,1.61998702198025e-12,1725,1.98093350490964e-06,6.9702589677911e-06,"2.YEARLING","2.YEARLING"
"64",1990,"Alewife",3.11021116359656e-06,1.18430243285484e-12,1725,9.77228222723571e-07,5.24319410446954e-06,"2.YEARLING","2.YEARLING"
