"","YEAR","SPECIES","AI.D","VAR","SAMPLE_N","LCI","UCI","life.stage","life.stage.1"
"424",1974,"Tessellated Darter",0,0,1675,0,0,"1.YOY","1.YOY"
"425",1975,"Tessellated Darter",0,0,880,0,0,"1.YOY","1.YOY"
"426",1976,"Tessellated Darter",0,0,866,0,0,"1.YOY","1.YOY"
"427",1977,"Tessellated Darter",0,0,818,0,0,"1.YOY","1.YOY"
"428",1978,"Tessellated Darter",0,0,872,0,0,"1.YOY","1.YOY"
"429",1979,"Tessellated Darter",0,0,2136,0,0,"1.YOY","1.YOY"
"430",1980,"Tessellated Darter",6.62173268063582e-05,4.21411048063554e-10,2023,2.59818613282387e-05,0.000106452792284478,"1.YOY","1.YOY"
"431",1981,"Tessellated Darter",1.41550666451852e-05,1.23666881760555e-11,1154,7.26247139396564e-06,2.10476618964048e-05,"1.YOY","1.YOY"
"432",1982,"Tessellated Darter",9.05063623401879e-06,9.77602258696758e-12,1000,2.92237641820691e-06,1.51788960498307e-05,"1.YOY","1.YOY"
"433",1983,"Tessellated Darter",2.29604389489432e-06,1.77558126654135e-12,1199,-3.15674503697926e-07,4.90776229348656e-06,"1.YOY","1.YOY"
"434",1984,"Tessellated Darter",1.70236304328363e-05,2.59258587308416e-11,1641,7.04381185230084e-06,2.70034490133718e-05,"1.YOY","1.YOY"
"435",1985,"Tessellated Darter",1.40275875137614e-05,3.90428956209755e-11,1889,1.78066186617382e-06,2.62745131613491e-05,"1.YOY","1.YOY"
"436",1986,"Tessellated Darter",4.55704611081151e-05,5.41662121959982e-11,2222,3.11453122086358e-05,5.99956100075943e-05,"1.YOY","1.YOY"
"437",1987,"Tessellated Darter",1.13903116199595e-05,3.7465228577969e-12,2065,7.59654802551765e-06,1.51840752144014e-05,"1.YOY","1.YOY"
"438",1988,"Tessellated Darter",3.26416018836993e-05,9.16584568751845e-11,1733,1.38768709255505e-05,5.14063328418481e-05,"1.YOY","1.YOY"
"439",1989,"Tessellated Darter",2.85958201500351e-05,1.17755078068469e-10,1725,7.32687781836681e-06,4.98647624817033e-05,"1.YOY","1.YOY"
"440",1990,"Tessellated Darter",9.15155577646906e-07,2.66655171073502e-13,1725,-9.69622540288166e-08,1.92727340932263e-06,"1.YOY","1.YOY"
"441",1991,"Tessellated Darter",1.61299157248238e-05,1.43223020282262e-11,1716,8.71233151757452e-06,2.35474999320731e-05,"1.YOY","1.YOY"
"442",1992,"Tessellated Darter",2.03314175681569e-05,7.66583207434387e-12,1722,1.49047187100297e-05,2.57581164262841e-05,"1.YOY","1.YOY"
"443",1993,"Tessellated Darter",2.38286179855429e-05,1.39204749993528e-11,1707,1.65158280420594e-05,3.11414079290264e-05,"1.YOY","1.YOY"
"444",1994,"Tessellated Darter",5.94637403065146e-05,6.04189788096092e-11,1706,4.42287296732726e-05,7.46987509397565e-05,"1.YOY","1.YOY"
"445",1995,"Tessellated Darter",2.40230750378264e-05,1.43010963146554e-11,1720,1.66109841315855e-05,3.14351659440674e-05,"1.YOY","1.YOY"
"446",1996,"Tessellated Darter",1.70854336773717e-05,1.65271011371422e-11,1720,9.11734032146494e-06,2.50535270332784e-05,"1.YOY","1.YOY"
"447",1997,"Tessellated Darter",1.47908096641246e-05,1.53552182147283e-11,2040,7.11040561917358e-06,2.24712137090757e-05,"1.YOY","1.YOY"
"448",1998,"Tessellated Darter",9.70847080258488e-06,3.92650801106794e-12,2151,5.82464882220027e-06,1.35922927829695e-05,"1.YOY","1.YOY"
"449",1999,"Tessellated Darter",2.24415637945877e-05,2.59340897687649e-11,2099,1.2460161124838e-05,3.24229664643374e-05,"1.YOY","1.YOY"
