"","YEAR","SPECIES","AI.D","VAR","SAMPLE_N","LCI","UCI","life.stage","life.stage.1"
"471",1974,"Weakfish",0,0,1675,0,0,"1.YOY","1.YOY"
"472",1975,"Weakfish",0,0,880,0,0,"1.YOY","1.YOY"
"473",1976,"Weakfish",0,0,866,0,0,"1.YOY","1.YOY"
"474",1977,"Weakfish",0,0,818,0,0,"1.YOY","1.YOY"
"475",1978,"Weakfish",0,0,872,0,0,"1.YOY","1.YOY"
"476",1979,"Weakfish",0,0,2136,0,0,"1.YOY","1.YOY"
"477",1980,"Weakfish",0.00127885006184456,2.55258639898436e-08,2023,0.000965704474132733,0.00159199564955638,"1.YOY","1.YOY"
"478",1981,"Weakfish",0.00163143567640643,3.09985877826657e-07,1154,0.000540178718463488,0.00272269263434937,"1.YOY","1.YOY"
"479",1982,"Weakfish",0.0028685086518101,1.66584334446896e-07,1000,0.00206853966540425,0.00366847763821594,"1.YOY","1.YOY"
"480",1983,"Weakfish",0.00110672857920961,3.06857348587228e-08,1199,0.000763388632461099,0.00145006852595812,"1.YOY","1.YOY"
"481",1984,"Weakfish",0.00282777374708261,6.03806083198537e-08,1641,0.00234615341432915,0.00330939407983607,"1.YOY","1.YOY"
"482",1985,"Weakfish",0.00093126839851588,1.80168924174871e-08,1889,0.000668183442824723,0.00119435335420704,"1.YOY","1.YOY"
"483",1986,"Weakfish",0.00051400421410879,4.42261164407228e-09,2222,0.000383658884726153,0.000644349543491426,"1.YOY","1.YOY"
"484",1987,"Weakfish",0.000249150448619033,1.88625022479646e-09,2065,0.000164025723282747,0.000334275173955318,"1.YOY","1.YOY"
"485",1988,"Weakfish",0.00162687581509232,6.00808703841923e-08,1733,0.0011464523855347,0.00210729924464995,"1.YOY","1.YOY"
"486",1989,"Weakfish",0.00181842505050539,1.07887393478863e-07,1725,0.0011746392081724,0.00246221089283838,"1.YOY","1.YOY"
"487",1990,"Weakfish",0.000296390745016628,1.22730018843322e-09,1725,0.000227726369945671,0.000365055120087585,"1.YOY","1.YOY"
"488",1991,"Weakfish",0.00201488360575621,3.30405066735585e-08,1716,0.00165861346886968,0.00237115374264273,"1.YOY","1.YOY"
"489",1992,"Weakfish",0.000241756061048963,1.00103009735248e-09,1722,0.000179743504078707,0.000303768618019219,"1.YOY","1.YOY"
"490",1993,"Weakfish",0.000707137894708058,6.38204435155919e-09,1707,0.000550558005894233,0.000863717783521883,"1.YOY","1.YOY"
"491",1994,"Weakfish",0.00106984996688405,4.46369249083045e-08,1706,0.00065575189791036,0.00148394803585775,"1.YOY","1.YOY"
"492",1995,"Weakfish",0.00155627635459829,9.83579511661292e-08,1720,0.000941579758544756,0.00217097295065182,"1.YOY","1.YOY"
"493",1996,"Weakfish",0.000925141197882254,3.43750474438542e-08,1720,0.000561747221239396,0.00128853517452511,"1.YOY","1.YOY"
"494",1997,"Weakfish",0.00121812081776156,1.31133102700826e-07,2040,0.000508359641494857,0.00192788199402826,"1.YOY","1.YOY"
"495",1998,"Weakfish",0.00118849308817016,4.71286658430823e-08,2151,0.000762993989812962,0.00161399218652735,"1.YOY","1.YOY"
