"","YEAR","SPECIES","AI.D","VAR","SAMPLE_N","LCI","UCI","life.stage","life.stage.1"
"518",1974,"White Catfish",0,0,1675,0,0,"1.YOY","1.YOY"
"519",1975,"White Catfish",0,0,880,0,0,"1.YOY","1.YOY"
"520",1976,"White Catfish",0,0,866,0,0,"1.YOY","1.YOY"
"521",1977,"White Catfish",0,0,818,0,0,"1.YOY","1.YOY"
"522",1978,"White Catfish",0,0,872,0,0,"1.YOY","1.YOY"
"523",1979,"White Catfish",0,0,2136,0,0,"1.YOY","1.YOY"
"524",1980,"White Catfish",1.23445399984511e-05,1.08000396437066e-11,2023,5.90331090026939e-06,1.87857690966329e-05,"1.YOY","1.YOY"
"525",1981,"White Catfish",2.83203126345679e-05,4.39756044674711e-11,1154,1.53227481657054e-05,4.13178771034304e-05,"1.YOY","1.YOY"
"526",1982,"White Catfish",0.000121626653459033,3.22311366571133e-10,1000,8.64387102707809e-05,0.000156814596647285,"1.YOY","1.YOY"
"527",1983,"White Catfish",0.000102137338731211,2.60876141202674e-10,1199,7.04800838905872e-05,0.000133794593571835,"1.YOY","1.YOY"
"528",1984,"White Catfish",0.00020457913403706,7.6203014595617e-10,1641,0.00015047354274831,0.000258684725325809,"1.YOY","1.YOY"
"529",1985,"White Catfish",2.25841411626047e-05,6.53967703104514e-11,1889,6.7339603174336e-06,3.84343220077759e-05,"1.YOY","1.YOY"
"530",1986,"White Catfish",2.60412429780995e-05,6.51608738324689e-11,2222,1.02196750117185e-05,4.18628109444805e-05,"1.YOY","1.YOY"
"531",1987,"White Catfish",4.84460390628427e-05,5.30522471999879e-11,2065,3.41699922415593e-05,6.2722085884126e-05,"1.YOY","1.YOY"
"532",1988,"White Catfish",7.6167231318424e-05,2.85405563493843e-10,1733,4.30550883385753e-05,0.000109279374298273,"1.YOY","1.YOY"
"533",1989,"White Catfish",7.18305537721732e-05,7.34301515889256e-11,1725,5.50350403729342e-05,8.86260671714122e-05,"1.YOY","1.YOY"
"534",1990,"White Catfish",4.01702193714877e-05,7.2239118849573e-11,1725,2.35114739513632e-05,5.68289647916122e-05,"1.YOY","1.YOY"
"535",1991,"White Catfish",2.20569347154457e-05,1.01660011535515e-11,1716,1.58076379524904e-05,2.8306231478401e-05,"1.YOY","1.YOY"
"536",1992,"White Catfish",9.6941639074382e-06,1.02187887612993e-11,1722,3.42866321671862e-06,1.59596645981578e-05,"1.YOY","1.YOY"
"537",1993,"White Catfish",0.000136575504217177,5.55354461296277e-10,1707,9.03862230091329e-05,0.000182764785425221,"1.YOY","1.YOY"
"538",1994,"White Catfish",0.000142697225870599,1.57161639281799e-10,1706,0.000118125857299334,0.000167268594441865,"1.YOY","1.YOY"
"539",1995,"White Catfish",6.13492356300295e-05,1.20144307521997e-10,1720,3.98656053088639e-05,8.28328659511951e-05,"1.YOY","1.YOY"
"540",1996,"White Catfish",0.000116073013809782,2.04571391332515e-10,1720,8.80394364971557e-05,0.000144106591122408,"1.YOY","1.YOY"
"541",1997,"White Catfish",1.01675844040679e-05,1.47979752717297e-11,2040,2.62782964652596e-06,1.77073391616099e-05,"1.YOY","1.YOY"
