"","YEAR","SPECIES","AI.D","VAR","SAMPLE_N","LCI","UCI","life.stage","life.stage.1"
"565",1974,"White Perch",0,0,1675,0,0,"1.YOY","1.YOY"
"566",1975,"White Perch",0,0,880,0,0,"1.YOY","1.YOY"
"567",1976,"White Perch",0,0,866,0,0,"1.YOY","1.YOY"
"568",1977,"White Perch",0,0,818,0,0,"1.YOY","1.YOY"
"569",1978,"White Perch",0,0,872,0,0,"1.YOY","1.YOY"
"570",1979,"White Perch",0,0,2136,0,0,"1.YOY","1.YOY"
"571",1980,"White Perch",0.00136368528538784,1.52071726188766e-08,2023,0.00112198324912692,0.00160538732164876,"1.YOY","1.YOY"
"572",1981,"White Perch",0.000930790473052735,1.03452233979071e-08,1154,0.000731435989267194,0.00113014495683828,"1.YOY","1.YOY"
"573",1982,"White Perch",0.000728184976746887,6.76116117059213e-09,1000,0.000567021467375359,0.000889348486118415,"1.YOY","1.YOY"
"574",1983,"White Perch",0.000372041947258107,2.04625641383472e-09,1199,0.000283380238277355,0.000460703656238858,"1.YOY","1.YOY"
"575",1984,"White Perch",0.000744817783410228,1.52119448668019e-08,1641,0.000503077825190023,0.000986557741630432,"1.YOY","1.YOY"
"576",1985,"White Perch",0.000848099763652724,1.07469402578131e-08,1889,0.000644911561006963,0.00105128796629849,"1.YOY","1.YOY"
"577",1986,"White Perch",0.00150453585737831,4.80163811542148e-08,2222,0.00107504810453543,0.0019340236102212,"1.YOY","1.YOY"
"578",1987,"White Perch",0.000628372094528273,3.37399466887839e-09,2065,0.000514523344337666,0.00074222084471888,"1.YOY","1.YOY"
"579",1988,"White Perch",0.00137730989228131,1.54746248442698e-08,1733,0.00113349168376983,0.00162112810079279,"1.YOY","1.YOY"
"580",1989,"White Perch",0.00180642304668905,5.86940017326268e-08,1725,0.00133157688522614,0.00228126920815196,"1.YOY","1.YOY"
"581",1990,"White Perch",0.00053468712418853,5.74922074773919e-08,1725,6.47274831073528e-05,0.00100464676526971,"1.YOY","1.YOY"
"582",1991,"White Perch",0.000191169933761444,7.34190636612823e-10,1716,0.000138061867052028,0.000244278000470861,"1.YOY","1.YOY"
"583",1992,"White Perch",0.000775600605716958,9.50199027048023e-09,1722,0.000584543426257309,0.000966657785176608,"1.YOY","1.YOY"
"584",1993,"White Perch",0.000152889133925049,1.23957467232216e-09,1707,8.38822497670695e-05,0.000221896018083029,"1.YOY","1.YOY"
"585",1994,"White Perch",0.000280235716846498,1.4299164544453e-09,1706,0.00020611981402263,0.000354351619670366,"1.YOY","1.YOY"
"586",1995,"White Perch",0.000467094531563117,6.14769397602694e-09,1720,0.000313416357516491,0.000620772705609743,"1.YOY","1.YOY"
"587",1996,"White Perch",0.000140859495355807,3.9128321846926e-10,1720,0.000102088970313302,0.000179630020398312,"1.YOY","1.YOY"
"588",1997,"White Perch",0.000267401378513945,1.72359993617884e-09,2040,0.000186029506747193,0.000348773250280696,"1.YOY","1.YOY"
"589",1998,"White Perch",0.000184526083340895,3.24299789739034e-10,2151,0.000149229765228924,0.000219822401452866,"1.YOY","1.YOY"
"590",1999,"White Perch",0.000716666841669038,3.13608267477269e-09,2099,0.000606905394870051,0.000826428288468024,"1.YOY","1.YOY"
"591",2000,"White Perch",0.000324105062378937,9.79008921611486e-09,2143,0.000130173098194002,0.000518037026563872,"1.YOY","1.YOY"
"592",2001,"White Perch",0.000402650642513721,1.25189947199645e-09,2098,0.000333301547266403,0.000471999737761039,"1.YOY","1.YOY"
"593",2002,"White Perch",0.000507421909303125,2.81196247142668e-08,2142,0.000178751329082858,0.000836092489523393,"1.YOY","1.YOY"
"594",2003,"White Perch",0.00112039961532898,9.02769929776654e-09,2144,0.000934171772023264,0.0013066274586347,"1.YOY","1.YOY"
"595",2004,"White Perch",0.000233002963420186,2.54465514278971e-09,2139,0.000134131596500633,0.00033187433033974,"1.YOY","1.YOY"
"596",2005,"White Perch",0.000544864829455353,3.51265712633493e-09,2142,0.000428700189325371,0.000661029469585336,"1.YOY","1.YOY"
"597",2006,"White Perch",0.000375839700610459,1.26910648324366e-08,2143,0.000155036633013362,0.000596642768207556,"1.YOY","1.YOY"
"598",2007,"White Perch",9.47956777502898e-05,5.77916538817827e-10,2140,4.76774840718118e-05,0.000141913871428768,"1.YOY","1.YOY"
"599",2008,"White Perch",0.000464513507212169,1.10686187613693e-09,2142,0.000399305221056438,0.000529721793367899,"1.YOY","1.YOY"
"600",2009,"White Perch",0.000236358355349689,8.32248649378167e-10,2140,0.000179814864022648,0.00029290184667673,"1.YOY","1.YOY"
"601",2010,"White Perch",0.000739373616746111,2.44153154343695e-09,2135,0.00064252637838968,0.000836220855102542,"1.YOY","1.YOY"
"602",2011,"White Perch",0.000482638438345594,3.28544257821616e-09,2094,0.000370293628903969,0.00059498324778722,"1.YOY","1.YOY"
"603",2012,"White Perch",0.000983655341608279,2.96078114698184e-08,2143,0.000646399698894248,0.00132091098432231,"1.YOY","1.YOY"
"604",2013,"White Perch",9.83522860465395e-05,2.67708046348602e-10,2136,6.62831851727578e-05,0.000130421386920321,"1.YOY","1.YOY"
"605",2014,"White Perch",0.000597035000400426,4.91838974682378e-09,2132,0.000459577785051801,0.000734492215749051,"1.YOY","1.YOY"
"606",2015,"White Perch",0.000187743574058437,4.93665539079959e-10,2134,0.000144195146590507,0.000231292001526367,"1.YOY","1.YOY"
"607",2016,"White Perch",0.000164856399037255,2.79919704505048e-10,2132,0.000132064028936474,0.000197648769138036,"1.YOY","1.YOY"
"608",2017,"White Perch",0.000810551481095735,1.80137687860684e-08,2135,0.000547489332224864,0.00107361362996661,"1.YOY","1.YOY"
"609",2018,"White Perch",0.000300075685437488,4.41622279680917e-10,2137,0.000258886655956057,0.000341264714918919,"1.YOY","1.YOY"
"610",2023,"White Perch",0.000119830226190484,5.98779257857938e-10,1793,7.18690919567414e-05,0.000167791360424226,"1.YOY","1.YOY"
"611",2024,"White Perch",4.80736628970583e-05,1.24068445999504e-10,2025,2.62420037262189e-05,6.99053220678976e-05,"1.YOY","1.YOY"
"5651",1974,"White Perch",0,0,1675,0,0,"2.YEARLING","2.YEARLING"
"5661",1975,"White Perch",0,0,880,0,0,"2.YEARLING","2.YEARLING"
"5671",1976,"White Perch",0,0,866,0,0,"2.YEARLING","2.YEARLING"
"5681",1977,"White Perch",0,0,818,0,0,"2.YEARLING","2.YEARLING"
"5691",1978,"White Perch",0,0,872,0,0,"2.YEARLING","2.YEARLING"
"5701",1979,"White Perch",0,0,2136,0,0,"2.YEARLING","2.YEARLING"
"5711",1980,"White Perch",0.00084081360901086,4.3890817154457e-09,2023,0.000710963324767597,0.000970663893254123,"2.YEARLING","2.YEARLING"
"5721",1981,"White Perch",0.00373593717996998,3.14318819524141e-06,1154,0.00026104555995657,0.00721082879998338,"2.YEARLING","2.YEARLING"
"5731",1982,"White Perch",0.000613233162638632,5.53492599425417e-09,1000,0.000467414879493044,0.00075905144578422,"2.YEARLING","2.YEARLING"
