"","YEAR","AI","LCI","UCI","SPECIES","LIFE.STAGE","AIC","DEV.EXP","RMSE","NA.fit"
"1","1974",2.22044604925031e-16,2.22044604925031e-16,2.84704789458458e+55,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"2","1975",2.22044604925031e-16,2.22044604925031e-16,5.05673902850717e+180,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"3","1976",2.22044604925031e-16,2.22044604925031e-16,6.66376191528696e+155,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"4","1977",2.22044604925031e-16,2.22044604925031e-16,1.97261625818564e+166,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"5","1978",2.22044604925031e-16,2.22044604925031e-16,4.72409505036139e+154,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"6","1979",2.22044604925031e-16,2.22044604925031e-16,4.9026218732267e+25,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"7","1980",0.000827915107229433,0.000655401414986489,0.00104583757237212,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"8","1981",0.00122727686565254,0.000968113323520135,0.00155581838238651,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"9","1982",0.000387353864274866,0.00029772427330915,0.000503966352830326,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"10","1983",0.000973906038088965,0.000769346816328258,0.00123285487233556,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"11","1984",0.000175740390487944,0.000129193940669557,0.000239056759851065,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"12","1985",0.000187118853560702,0.000144571629993646,0.000242187664062515,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"13","1986",8.63250433770004e-05,6.54630495247709e-05,0.000113835410481774,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"14","1987",0.000125641583557737,9.73717854094293e-05,0.000162118907982631,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"15","1988",6.03978695166462e-05,4.53458936020741e-05,8.04461518425776e-05,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"16","1989",7.04495421065456e-05,5.33433935510177e-05,9.30412868891663e-05,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"17","1990",0.000106522473585059,8.18482634246625e-05,0.000138635041281286,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"18","1991",0.000148187855422246,0.000115067057762518,0.000190842113474092,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"19","1992",0.000103277159995808,7.93946016330057e-05,0.000134343791106896,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"20","1993",9.11011699732311e-05,6.95778344239153e-05,0.000119282573814037,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"21","1994",9.28209601716909e-05,7.08612462877794e-05,0.000121585931641743,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"22","1995",7.2561561575702e-05,5.52432910306618e-05,9.53089528171313e-05,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"23","1996",0.000177168456671888,0.000138130625177101,0.0002272389775928,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"24","1997",0.000145842654230352,0.000114144610902624,0.00018634326776145,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"25","1998",1.30591706015207e-05,9.17551323368505e-06,1.85866373309267e-05,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"26","1999",0.000616209307060269,0.000495707517969895,0.000766003936480054,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"27","2000",0.000118716418507786,9.25715912672821e-05,0.000152245282060924,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"28","2001",0.000293100764106268,0.000232942388285071,0.000368795299782645,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"29","2002",4.8366387682344e-05,3.66253643543295e-05,6.38712405645261e-05,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"30","2003",0.000182957601674431,0.000144263522060006,0.000232030131612456,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"31","2004",3.58162827426359e-05,2.67593589093618e-05,4.79385965054509e-05,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"32","2005",0.000378745606965849,0.000303279854579618,0.000472989658329814,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"33","2006",4.20575577187211e-05,3.17396092345693e-05,5.57296767011556e-05,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"34","2007",0.000193908095243978,0.000153512168151513,0.000244934000046414,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"35","2008",0.000197889742131522,0.000156240781283531,0.0002506410280285,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"36","2009",1.92080194497304e-05,1.38781873014797e-05,2.65847407277664e-05,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
"37","2010",0.000332072415898146,0.000265250347307579,0.000415728350668516,"Alewife","YoY",-51810.4219163373,0.378129675109115,0.00324174184179479,FALSE
