"","YEAR","AI","LCI","UCI","SPECIES","LIFE.STAGE","AIC","DEV.EXP","RMSE","NA.fit"
"1","1974",2.22044604925031e-16,2.22044604925031e-16,1.81329598607681e+115,"American Shad","YoY",-60198.0170384473,0.576004316120615,0.00461095434225743,FALSE
"2","1975",2.22044604925031e-16,2.22044604925031e-16,1.04087262342422e+274,"American Shad","YoY",-60198.0170384473,0.576004316120615,0.00461095434225743,FALSE
"3","1976",2.22044604925031e-16,2.22044604925031e-16,3.09440136327352e+242,"American Shad","YoY",-60198.0170384473,0.576004316120615,0.00461095434225743,FALSE
"4","1977",2.22044604925031e-16,2.22044604925031e-16,5.71841343048415e+255,"American Shad","YoY",-60198.0170384473,0.576004316120615,0.00461095434225743,FALSE
"5","1978",2.22044604925031e-16,2.22044604925031e-16,1.03748280784904e+241,"American Shad","YoY",-60198.0170384473,0.576004316120615,0.00461095434225743,FALSE
"6","1979",2.22044604925031e-16,2.22044604925031e-16,2.83445027168972e+77,"American Shad","YoY",-60198.0170384473,0.576004316120615,0.00461095434225743,FALSE
"7","1980",0.00138295361863033,0.00105612622282677,0.00181092057932588,"American Shad","YoY",-60198.0170384473,0.576004316120615,0.00461095434225743,FALSE
"8","1981",0.00174090862521602,0.00132117969625048,0.0022939823022961,"American Shad","YoY",-60198.0170384473,0.576004316120615,0.00461095434225743,FALSE
"9","1982",0.00111711177279582,0.000843052834580126,0.0014802615704869,"American Shad","YoY",-60198.0170384473,0.576004316120615,0.00461095434225743,FALSE
"10","1983",0.00284245225422052,0.00217035314156249,0.00372268211232511,"American Shad","YoY",-60198.0170384473,0.576004316120615,0.00461095434225743,FALSE
"11","1984",0.00105375210098505,0.000791826744907574,0.00140231874898344,"American Shad","YoY",-60198.0170384473,0.576004316120615,0.00461095434225743,FALSE
"12","1985",0.000306234032906076,0.000230391292252895,0.0004070435214495,"American Shad","YoY",-60198.0170384473,0.576004316120615,0.00461095434225743,FALSE
"13","1986",0.000458358945143523,0.000346643413949379,0.000606077929476437,"American Shad","YoY",-60198.0170384473,0.576004316120615,0.00461095434225743,FALSE
"14","1987",0.000120409847297721,9.01715234708989e-05,0.000160788359430786,"American Shad","YoY",-60198.0170384473,0.576004316120615,0.00461095434225743,FALSE
"15","1988",0.000276259181125079,0.000208781676015365,0.000365545179119469,"American Shad","YoY",-60198.0170384473,0.576004316120615,0.00461095434225743,FALSE
