"","YEAR","AI","LCI","UCI","SPECIES","LIFE.STAGE","AIC","DEV.EXP","RMSE","NA.fit"
"1","1974",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"Atlantic Tomcod","YoY",-54437.652245918,0.610455699543097,0.0105111168116596,FALSE
"2","1975",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"Atlantic Tomcod","YoY",-54437.652245918,0.610455699543097,0.0105111168116596,FALSE
"3","1976",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"Atlantic Tomcod","YoY",-54437.652245918,0.610455699543097,0.0105111168116596,FALSE
"4","1977",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"Atlantic Tomcod","YoY",-54437.652245918,0.610455699543097,0.0105111168116596,FALSE
"5","1978",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"Atlantic Tomcod","YoY",-54437.652245918,0.610455699543097,0.0105111168116596,FALSE
"6","1979",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"Atlantic Tomcod","YoY",-54437.652245918,0.610455699543097,0.0105111168116596,FALSE
"7","1980",0.0069484574912359,0.00544133167517885,0.00887302307406676,"Atlantic Tomcod","YoY",-54437.652245918,0.610455699543097,0.0105111168116596,FALSE
"8","1981",0.0135762277997869,0.0104958962946146,0.017560573780276,"Atlantic Tomcod","YoY",-54437.652245918,0.610455699543097,0.0105111168116596,FALSE
"9","1982",0.0164324648579628,0.0127066171906411,0.021250809500035,"Atlantic Tomcod","YoY",-54437.652245918,0.610455699543097,0.0105111168116596,FALSE
"10","1983",0.00407451637178127,0.00306033192542403,0.00542479837758559,"Atlantic Tomcod","YoY",-54437.652245918,0.610455699543097,0.0105111168116596,FALSE
"11","1984",0.0484852577853787,0.0376779764952076,0.0623924223428941,"Atlantic Tomcod","YoY",-54437.652245918,0.610455699543097,0.0105111168116596,FALSE
"12","1985",0.00193614629797451,0.00151603073563192,0.00247268237975258,"Atlantic Tomcod","YoY",-54437.652245918,0.610455699543097,0.0105111168116596,FALSE
"13","1986",0.0050482145934985,0.0039951656082534,0.00637882708275326,"Atlantic Tomcod","YoY",-54437.652245918,0.610455699543097,0.0105111168116596,FALSE
"14","1987",0.00256404500903141,0.00203646876143439,0.00322829740030398,"Atlantic Tomcod","YoY",-54437.652245918,0.610455699543097,0.0105111168116596,FALSE
"15","1988",0.00288482170031289,0.0022878304652938,0.00363759306856133,"Atlantic Tomcod","YoY",-54437.652245918,0.610455699543097,0.0105111168116596,FALSE
"16","1989",0.00523920822505293,0.00419407013070216,0.00654478870644606,"Atlantic Tomcod","YoY",-54437.652245918,0.610455699543097,0.0105111168116596,FALSE
"17","1990",0.000700329026148661,0.000545802962572305,0.000898604035703376,"Atlantic Tomcod","YoY",-54437.652245918,0.610455699543097,0.0105111168116596,FALSE
"18","1991",0.000861902092455762,0.000671799620719762,0.00110579880379169,"Atlantic Tomcod","YoY",-54437.652245918,0.610455699543097,0.0105111168116596,FALSE
