"","YEAR","AI","LCI","UCI","SPECIES","LIFE.STAGE","AIC","DEV.EXP","RMSE","NA.fit"
"1","1974",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"Blueback Herring","YoY",-67165.9988855225,0.64955067650968,0.0572317689068379,FALSE
"2","1975",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"Blueback Herring","YoY",-67165.9988855225,0.64955067650968,0.0572317689068379,FALSE
"3","1976",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"Blueback Herring","YoY",-67165.9988855225,0.64955067650968,0.0572317689068379,FALSE
"4","1977",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"Blueback Herring","YoY",-67165.9988855225,0.64955067650968,0.0572317689068379,FALSE
"5","1978",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"Blueback Herring","YoY",-67165.9988855225,0.64955067650968,0.0572317689068379,FALSE
"6","1979",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"Blueback Herring","YoY",-67165.9988855225,0.64955067650968,0.0572317689068379,FALSE
"7","1980",0.000577091691432256,0.000469418067735333,0.00070946314854654,"Blueback Herring","YoY",-67165.9988855225,0.64955067650968,0.0572317689068379,FALSE
"8","1981",0.00132086476117821,0.00107718898539241,0.00161966353256648,"Blueback Herring","YoY",-67165.9988855225,0.64955067650968,0.0572317689068379,FALSE
"9","1982",0.000544650924538746,0.000441398558196534,0.000672056181635347,"Blueback Herring","YoY",-67165.9988855225,0.64955067650968,0.0572317689068379,FALSE
"10","1983",0.000738828372639109,0.000601977994730604,0.000906789565390741,"Blueback Herring","YoY",-67165.9988855225,0.64955067650968,0.0572317689068379,FALSE
"11","1984",0.000440726245062785,0.00035391723708935,0.000548827812639439,"Blueback Herring","YoY",-67165.9988855225,0.64955067650968,0.0572317689068379,FALSE
"12","1985",0.000229605994202034,0.000186144468126204,0.000283215037783241,"Blueback Herring","YoY",-67165.9988855225,0.64955067650968,0.0572317689068379,FALSE
"13","1986",3.54109735640079e-05,2.82069356580707e-05,4.44549193131543e-05,"Blueback Herring","YoY",-67165.9988855225,0.64955067650968,0.0572317689068379,FALSE
"14","1987",0.000136190471251391,0.00011047949496243,0.000167884949745501,"Blueback Herring","YoY",-67165.9988855225,0.64955067650968,0.0572317689068379,FALSE
"15","1988",0.000183728274601936,0.000149241282065676,0.000226184594644192,"Blueback Herring","YoY",-67165.9988855225,0.64955067650968,0.0572317689068379,FALSE
"16","1989",0.000174022774224715,0.00014144376015593,0.000214105775436686,"Blueback Herring","YoY",-67165.9988855225,0.64955067650968,0.0572317689068379,FALSE
"17","1990",0.000144967792882129,0.000117529525504854,0.000178811757154995,"Blueback Herring","YoY",-67165.9988855225,0.64955067650968,0.0572317689068379,FALSE
"18","1991",0.000204860906853396,0.000166829373880775,0.0002515623608753,"Blueback Herring","YoY",-67165.9988855225,0.64955067650968,0.0572317689068379,FALSE
"19","1992",0.000208817751134725,0.000169999456183178,0.000256499956929148,"Blueback Herring","YoY",-67165.9988855225,0.64955067650968,0.0572317689068379,FALSE
"20","1993",8.17602584658769e-05,6.60111776172891e-05,0.000101266787015419,"Blueback Herring","YoY",-67165.9988855225,0.64955067650968,0.0572317689068379,FALSE
