"","YEAR","AI","LCI","UCI","SPECIES","LIFE.STAGE","AIC","DEV.EXP","RMSE","NA.fit"
"1","1974",2.22044604925031e-16,2.22044604925031e-16,1.6350580913205e+268,"Channel Catfish","YoY",-25210.4061969521,0.677261381323911,0.00155696398889229,FALSE
"2","1975",2.22044604925031e-16,2.22044604925031e-16,Inf,"Channel Catfish","YoY",-25210.4061969521,0.677261381323911,0.00155696398889229,TRUE
"3","1976",2.22044604925031e-16,2.22044604925031e-16,Inf,"Channel Catfish","YoY",-25210.4061969521,0.677261381323911,0.00155696398889229,TRUE
"4","1977",2.22044604925031e-16,2.22044604925031e-16,Inf,"Channel Catfish","YoY",-25210.4061969521,0.677261381323911,0.00155696398889229,TRUE
"5","1978",2.22044604925031e-16,2.22044604925031e-16,Inf,"Channel Catfish","YoY",-25210.4061969521,0.677261381323911,0.00155696398889229,TRUE
"6","1979",2.22044604925031e-16,2.22044604925031e-16,5.40204878199058e+212,"Channel Catfish","YoY",-25210.4061969521,0.677261381323911,0.00155696398889229,FALSE
"7","1980",2.22044604925031e-16,2.22044604925031e-16,4.83760243361088e+224,"Channel Catfish","YoY",-25210.4061969521,0.677261381323911,0.00155696398889229,FALSE
"8","1981",2.22044604925031e-16,2.22044604925031e-16,Inf,"Channel Catfish","YoY",-25210.4061969521,0.677261381323911,0.00155696398889229,TRUE
"9","1982",2.22044604925031e-16,2.22044604925031e-16,Inf,"Channel Catfish","YoY",-25210.4061969521,0.677261381323911,0.00155696398889229,TRUE
"10","1983",2.22044604925031e-16,2.22044604925031e-16,Inf,"Channel Catfish","YoY",-25210.4061969521,0.677261381323911,0.00155696398889229,TRUE
"11","1984",2.22044604925031e-16,2.22044604925031e-16,Inf,"Channel Catfish","YoY",-25210.4061969521,0.677261381323911,0.00155696398889229,TRUE
"12","1985",2.22044604925031e-16,2.22044604925031e-16,1.31399081055141e+249,"Channel Catfish","YoY",-25210.4061969521,0.677261381323911,0.00155696398889229,FALSE
"13","1986",8.57467484998229e-08,3.07977294533327e-08,2.38735290191863e-07,"Channel Catfish","YoY",-25210.4061969521,0.677261381323911,0.00155696398889229,FALSE
"14","1987",1.06546623549007e-07,3.99016550792256e-08,2.84504062980693e-07,"Channel Catfish","YoY",-25210.4061969521,0.677261381323911,0.00155696398889229,FALSE
"15","1988",1.13305230412043e-07,4.10033309958374e-08,3.13098349010459e-07,"Channel Catfish","YoY",-25210.4061969521,0.677261381323911,0.00155696398889229,FALSE
"16","1989",2.84335971122651e-07,1.28752097031456e-07,6.27927205368225e-07,"Channel Catfish","YoY",-25210.4061969521,0.677261381323911,0.00155696398889229,FALSE
"17","1990",2.22044604925031e-16,2.22044604925031e-16,1.88877999005593e+265,"Channel Catfish","YoY",-25210.4061969521,0.677261381323911,0.00155696398889229,FALSE
"18","1991",9.21892052490415e-08,3.14697194328373e-08,2.70064357662551e-07,"Channel Catfish","YoY",-25210.4061969521,0.677261381323911,0.00155696398889229,FALSE
"19","1992",1.0977419366768e-07,3.95391194018878e-08,3.04770914923661e-07,"Channel Catfish","YoY",-25210.4061969521,0.677261381323911,0.00155696398889229,FALSE
"20","1993",1.95474181189424e-08,3.53297686897413e-09,1.08152860685926e-07,"Channel Catfish","YoY",-25210.4061969521,0.677261381323911,0.00155696398889229,FALSE
"21","1994",1.23187273752172e-06,7.0623005385982e-07,2.14874803635936e-06,"Channel Catfish","YoY",-25210.4061969521,0.677261381323911,0.00155696398889229,FALSE
"22","1995",9.54227154144422e-07,5.34193491431343e-07,1.70453117889324e-06,"Channel Catfish","YoY",-25210.4061969521,0.677261381323911,0.00155696398889229,FALSE
"23","1996",7.36665758422059e-07,3.86687817914497e-07,1.4033967828579e-06,"Channel Catfish","YoY",-25210.4061969521,0.677261381323911,0.00155696398889229,FALSE
"24","1997",2.26887239879925e-06,1.35767103714901e-06,3.79162685302835e-06,"Channel Catfish","YoY",-25210.4061969521,0.677261381323911,0.00155696398889229,FALSE
"25","1998",3.96336188622026e-06,2.53227074870703e-06,6.20322193002626e-06,"Channel Catfish","YoY",-25210.4061969521,0.677261381323911,0.00155696398889229,FALSE
