"","YEAR","SPECIES","AI.D","VAR","SAMPLE_N","LCI","UCI","life.stage","life.stage.1"
"48",1974,"American Shad",0,0,1675,0,0,"1.YOY","1.YOY"
"49",1975,"American Shad",0,0,880,0,0,"1.YOY","1.YOY"
"50",1976,"American Shad",0,0,866,0,0,"1.YOY","1.YOY"
"51",1977,"American Shad",0,0,818,0,0,"1.YOY","1.YOY"
"52",1978,"American Shad",0,0,872,0,0,"1.YOY","1.YOY"
"53",1979,"American Shad",0,0,2136,0,0,"1.YOY","1.YOY"
"54",1980,"American Shad",0.00394705909560217,5.69471114618196e-07,2023,0.00246797822089745,0.00542613997030688,"1.YOY","1.YOY"
"55",1981,"American Shad",0.00133539859158239,2.19904679043954e-08,1154,0.00104474659777962,0.00162605058538516,"1.YOY","1.YOY"
"56",1982,"American Shad",0.00094181196706624,6.64308667651034e-09,1000,0.000782061906732974,0.00110156202739951,"1.YOY","1.YOY"
"57",1983,"American Shad",0.00239555161942668,4.49208336224753e-08,1199,0.00198013872308846,0.00281096451576489,"1.YOY","1.YOY"
"58",1984,"American Shad",0.00166388906408133,3.61508101151923e-08,1641,0.00129122708300663,0.00203655104515604,"1.YOY","1.YOY"
"59",1985,"American Shad",0.000581352132144967,4.82134085060648e-09,1889,0.000445257815541775,0.000717446448748159,"1.YOY","1.YOY"
"60",1986,"American Shad",0.00120145003378394,3.10940624794328e-08,2222,0.00085583326564184,0.00154706680192604,"1.YOY","1.YOY"
"61",1987,"American Shad",0.000528012611574396,7.70956310782756e-09,2065,0.000355916540628455,0.000700108682520337,"1.YOY","1.YOY"
"62",1988,"American Shad",0.000961447279215521,2.53663832981586e-08,1733,0.000649281460974308,0.00127361309745673,"1.YOY","1.YOY"
"63",1989,"American Shad",0.00215896626340685,7.83323869198346e-08,1725,0.00161040296023096,0.00270752956658273,"1.YOY","1.YOY"
"64",1990,"American Shad",0.00141421807092486,4.61720720458999e-08,1725,0.00099305939302361,0.00183537674882611,"1.YOY","1.YOY"
"65",1991,"American Shad",0.000475393586195182,3.18345218243834e-09,1716,0.000364806290794421,0.000585980881595943,"1.YOY","1.YOY"
"66",1992,"American Shad",0.00167544872014228,5.0960968289579e-08,1722,0.00123298781138169,0.00211790962890287,"1.YOY","1.YOY"
"67",1993,"American Shad",0.000244906445109176,8.10113256926596e-10,1707,0.00018911996746621,0.000300692922752143,"1.YOY","1.YOY"
"68",1994,"American Shad",0.000505558808772325,2.73452386002507e-09,1706,0.000403065165746661,0.00060805245179799,"1.YOY","1.YOY"
"69",1995,"American Shad",0.000488526828431229,9.86861686100399e-09,1720,0.000293818640279747,0.000683235016582711,"1.YOY","1.YOY"
"70",1996,"American Shad",0.00215295003647232,6.93343718043855e-08,1720,0.00163685419002156,0.00266904588292308,"1.YOY","1.YOY"
"71",1997,"American Shad",0.000969144442151807,3.04955219485065e-08,2040,0.000626870287244688,0.00131141859705893,"1.YOY","1.YOY"
"72",1998,"American Shad",0.000282609371568471,1.09143082315973e-08,2151,7.78451009973969e-05,0.000487373642139545,"1.YOY","1.YOY"
"73",1999,"American Shad",0.000527648733055403,4.22221193585934e-09,2099,0.000400290775421036,0.00065500669068977,"1.YOY","1.YOY"
"74",2000,"American Shad",0.00047986626887338,1.61827193358939e-08,2143,0.000230532086297525,0.000729200451449236,"1.YOY","1.YOY"
"75",2001,"American Shad",0.000629521889537265,9.3682326666394e-09,2098,0.000439814212802343,0.000819229566272188,"1.YOY","1.YOY"
"76",2002,"American Shad",0.00044633179863389,1.80778627625851e-08,2142,0.000182802070540935,0.000709861526726846,"1.YOY","1.YOY"
"77",2003,"American Shad",0.00057376581619036,4.42924491391666e-08,2144,0.00016126869788161,0.000986262934499109,"1.YOY","1.YOY"
"78",2004,"American Shad",0.000346425062539403,9.48456436177396e-09,2139,0.000155543155454968,0.000537306969623838,"1.YOY","1.YOY"
"79",2005,"American Shad",0.00027351840976408,2.89977881340116e-09,2142,0.000167973204806385,0.000379063614721775,"1.YOY","1.YOY"
"80",2006,"American Shad",8.47536201233008e-05,3.78956532536094e-10,2143,4.65986805297088e-05,0.000122908559716893,"1.YOY","1.YOY"
"81",2007,"American Shad",4.98014370956175e-05,2.37971634382509e-10,2140,1.95658317495384e-05,8.00370424416966e-05,"1.YOY","1.YOY"
"82",2008,"American Shad",2.47717015014055e-05,8.57944435462829e-11,2142,6.61714465395256e-06,4.29262583488584e-05,"1.YOY","1.YOY"
"83",2009,"American Shad",0.000103320076841219,1.76821636516588e-09,2140,2.09017537060002e-05,0.000185738399976437,"1.YOY","1.YOY"
"84",2010,"American Shad",3.15007657314166e-05,5.89844753253084e-11,2135,1.64477009135895e-05,4.65538305492437e-05,"1.YOY","1.YOY"
"85",2011,"American Shad",0.000174678147158678,2.46632177008889e-09,2094,7.7340478643486e-05,0.000272015815673871,"1.YOY","1.YOY"
"86",2012,"American Shad",9.44223162383216e-05,1.07762279310204e-09,2143,3.00810719079483e-05,0.000158763560568695,"1.YOY","1.YOY"
"87",2013,"American Shad",0.000119459141905118,7.65629858974202e-10,2136,6.52259079407374e-05,0.0001736923758695,"1.YOY","1.YOY"
"88",2014,"American Shad",0.00034653200956099,5.30966458903124e-09,2132,0.000203711816712701,0.000489352202409279,"1.YOY","1.YOY"
"89",2015,"American Shad",0.00021396458478668,2.64652168930921e-09,2134,0.000113133648454371,0.00031479552111899,"1.YOY","1.YOY"
"90",2016,"American Shad",6.06872180962092e-05,4.55828298288382e-10,2132,1.88409519461135e-05,0.000102533484246305,"1.YOY","1.YOY"
"91",2017,"American Shad",0.000114216223037211,3.77421918446542e-10,2135,7.6138617520264e-05,0.000152293828554158,"1.YOY","1.YOY"
"92",2018,"American Shad",5.11476761295127e-05,4.87163341316882e-11,2137,3.7467446993994e-05,6.48279052650313e-05,"1.YOY","1.YOY"
"93",2023,"American Shad",1.84492188827487e-05,5.81983211539475e-11,1793,3.49680534696781e-06,3.34016324185297e-05,"1.YOY","1.YOY"
"94",2024,"American Shad",3.45280148873867e-06,2.1105125693111e-12,2025,6.05391246735326e-07,6.30021173074201e-06,"1.YOY","1.YOY"
"481",1974,"American Shad",0,0,1675,0,0,"2.YEARLING","2.YEARLING"
"491",1975,"American Shad",0,0,880,0,0,"2.YEARLING","2.YEARLING"
