"","YEAR","AI","LCI","UCI","SPECIES","LIFE.STAGE","AIC","DEV.EXP","RMSE","NA.fit"
"1","1974",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"Hogchoker","YoY",-21220.3578281114,0.512724115826146,0.00516087539062548,FALSE
"2","1975",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"Hogchoker","YoY",-21220.3578281114,0.512724115826146,0.00516087539062548,FALSE
"3","1976",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"Hogchoker","YoY",-21220.3578281114,0.512724115826146,0.00516087539062548,FALSE
"4","1977",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"Hogchoker","YoY",-21220.3578281114,0.512724115826146,0.00516087539062548,FALSE
"5","1978",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"Hogchoker","YoY",-21220.3578281114,0.512724115826146,0.00516087539062548,FALSE
"6","1979",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"Hogchoker","YoY",-21220.3578281114,0.512724115826146,0.00516087539062548,FALSE
"7","1980",0.0147017288850831,0.0106804596022567,0.0202370347587679,"Hogchoker","YoY",-21220.3578281114,0.512724115826146,0.00516087539062548,FALSE
"8","1981",0.0355757810961819,0.0261426352874137,0.0484127245279206,"Hogchoker","YoY",-21220.3578281114,0.512724115826146,0.00516087539062548,FALSE
"9","1982",0.0111926048061885,0.00768400015964876,0.0163032795086823,"Hogchoker","YoY",-21220.3578281114,0.512724115826146,0.00516087539062548,FALSE
"10","1983",0.0241426755877193,0.0175390776755339,0.0332325790053903,"Hogchoker","YoY",-21220.3578281114,0.512724115826146,0.00516087539062548,FALSE
"11","1984",0.00588338338410459,0.00340815347356754,0.0101562914677445,"Hogchoker","YoY",-21220.3578281114,0.512724115826146,0.00516087539062548,FALSE
"12","1985",0.00261621985358562,0.00194142515514572,0.00352555765755586,"Hogchoker","YoY",-21220.3578281114,0.512724115826146,0.00516087539062548,FALSE
"13","1986",0.00432546573005847,0.00325042309377473,0.00575606720791007,"Hogchoker","YoY",-21220.3578281114,0.512724115826146,0.00516087539062548,FALSE
"14","1987",0.0105154800026662,0.00811794091517439,0.0136211042728559,"Hogchoker","YoY",-21220.3578281114,0.512724115826146,0.00516087539062548,FALSE
"15","1988",0.0145413421296874,0.0113016077504604,0.0187097832097391,"Hogchoker","YoY",-21220.3578281114,0.512724115826146,0.00516087539062548,FALSE
"16","1989",0.00430203946093822,0.00324090023804145,0.00571061808883514,"Hogchoker","YoY",-21220.3578281114,0.512724115826146,0.00516087539062548,FALSE
"17","1990",0.00341480026237308,0.00254536648877512,0.00458121095069288,"Hogchoker","YoY",-21220.3578281114,0.512724115826146,0.00516087539062548,FALSE
"18","1991",0.0107683159078463,0.00831547958012981,0.0139446710648246,"Hogchoker","YoY",-21220.3578281114,0.512724115826146,0.00516087539062548,FALSE
"19","1992",0.00244425728205311,0.00179539846365404,0.00332761433287093,"Hogchoker","YoY",-21220.3578281114,0.512724115826146,0.00516087539062548,FALSE
"20","1993",0.00314941559521291,0.00234660083807039,0.00422688785857866,"Hogchoker","YoY",-21220.3578281114,0.512724115826146,0.00516087539062548,FALSE
"21","1994",0.0117996266173591,0.00913125363321258,0.015247762673317,"Hogchoker","YoY",-21220.3578281114,0.512724115826146,0.00516087539062548,FALSE
"22","1995",0.00576508230455839,0.00437963188768972,0.00758880536781016,"Hogchoker","YoY",-21220.3578281114,0.512724115826146,0.00516087539062548,FALSE
"23","1996",0.000422442901533951,0.000273703745953392,0.000652011555175472,"Hogchoker","YoY",-21220.3578281114,0.512724115826146,0.00516087539062548,FALSE
"24","1997",0.000275604929776089,0.00018810888913202,0.00040379844709823,"Hogchoker","YoY",-21220.3578281114,0.512724115826146,0.00516087539062548,FALSE
"25","1998",0.000787132398270412,0.000580060004647378,0.0010681264135485,"Hogchoker","YoY",-21220.3578281114,0.512724115826146,0.00516087539062548,FALSE
"26","1999",0.000202988749638752,0.000136549403292014,0.0003017547604495,"Hogchoker","YoY",-21220.3578281114,0.512724115826146,0.00516087539062548,FALSE
