"","YEAR","AI","LCI","UCI","SPECIES","LIFE.STAGE","AIC","DEV.EXP","RMSE","NA.fit"
"1","1974",2.22044604925031e-16,2.22044604925031e-16,Inf,"Spottail Shiner","YoY",-3090.95660671293,0.484883480347058,0.000404255180290065,TRUE
"2","1975",2.22044604925031e-16,2.22044604925031e-16,Inf,"Spottail Shiner","YoY",-3090.95660671293,0.484883480347058,0.000404255180290065,TRUE
"3","1976",2.22044604925031e-16,2.22044604925031e-16,Inf,"Spottail Shiner","YoY",-3090.95660671293,0.484883480347058,0.000404255180290065,TRUE
"4","1977",2.22044604925031e-16,2.22044604925031e-16,Inf,"Spottail Shiner","YoY",-3090.95660671293,0.484883480347058,0.000404255180290065,TRUE
"5","1978",2.22044604925031e-16,2.22044604925031e-16,Inf,"Spottail Shiner","YoY",-3090.95660671293,0.484883480347058,0.000404255180290065,TRUE
"6","1979",2.22044604925031e-16,2.22044604925031e-16,Inf,"Spottail Shiner","YoY",-3090.95660671293,0.484883480347058,0.000404255180290065,TRUE
"7","1980",2.19194277229955e-05,1.1304922583095e-05,4.25001859298081e-05,"Spottail Shiner","YoY",-3090.95660671293,0.484883480347058,0.000404255180290065,FALSE
"8","1981",0.000140748870812107,7.68915121260537e-05,0.00025763890040824,"Spottail Shiner","YoY",-3090.95660671293,0.484883480347058,0.000404255180290065,FALSE
"9","1982",4.99495551552687e-06,1.33611867689394e-06,1.86731770414978e-05,"Spottail Shiner","YoY",-3090.95660671293,0.484883480347058,0.000404255180290065,FALSE
"10","1983",4.60302925698948e-05,2.31472168940183e-05,9.1535316913959e-05,"Spottail Shiner","YoY",-3090.95660671293,0.484883480347058,0.000404255180290065,FALSE
"11","1984",9.59409059713973e-05,5.0374631468986e-05,0.000182724065073896,"Spottail Shiner","YoY",-3090.95660671293,0.484883480347058,0.000404255180290065,FALSE
"12","1985",1.01161202026531e-05,5.81690713680399e-06,1.75928350836202e-05,"Spottail Shiner","YoY",-3090.95660671293,0.484883480347058,0.000404255180290065,FALSE
"13","1986",1.24386515620603e-05,7.3862936669402e-06,2.09469132502605e-05,"Spottail Shiner","YoY",-3090.95660671293,0.484883480347058,0.000404255180290065,FALSE
"14","1987",5.87341308295571e-06,3.24505366879758e-06,1.063063504149e-05,"Spottail Shiner","YoY",-3090.95660671293,0.484883480347058,0.000404255180290065,FALSE
"15","1988",1.27570004419608e-05,7.41224033157726e-06,2.19557182439008e-05,"Spottail Shiner","YoY",-3090.95660671293,0.484883480347058,0.000404255180290065,FALSE
