"","YEAR","AI","LCI","UCI","SPECIES","LIFE.STAGE","AIC","DEV.EXP","RMSE","NA.fit"
"1","1974",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"2","1975",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"3","1976",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"4","1977",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"5","1978",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"6","1979",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"7","1980",0.00369672836856323,0.00299435923326757,0.00456384807778305,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"8","1981",0.00370610663826665,0.00293935401546945,0.00467287245493988,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"9","1982",0.00250835365576199,0.00196296477195138,0.00320527304018799,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"10","1983",0.0034593864191198,0.00275217145881968,0.00434833169948029,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"11","1984",0.00505624420659249,0.00396592014524359,0.0064463238139985,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"12","1985",0.000160044936937761,0.000123720994908177,0.000207033429196252,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"13","1986",0.000581400218880297,0.00046352765817803,0.000729247130241859,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"14","1987",0.00273492527823142,0.00224541136666221,0.00333115632554578,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"15","1988",0.00470512653810154,0.00387782308144369,0.00570892876611212,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"16","1989",0.00198925403208263,0.00162750673404991,0.00243140720795053,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"17","1990",0.00133361703328226,0.00108941338889802,0.0016325615322753,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"18","1991",0.001059144599151,0.000859878367882944,0.00130458832761734,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"19","1992",0.000780443872548818,0.000631249453795375,0.000964900063733662,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"20","1993",0.0017246400718073,0.00140678657392588,0.00211431032426116,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"21","1994",0.00201405435987037,0.00164699365788868,0.00246292081641215,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"22","1995",0.00210052473203187,0.00172682149000629,0.00255510148293411,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"23","1996",0.00136816041144355,0.00111692606022258,0.00167590584381956,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"24","1997",0.00124090270723324,0.00101558228225841,0.00151621346267932,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"25","1998",0.000323863616202805,0.000259576512220334,0.000404072159698821,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"26","1999",0.00132590348262221,0.00108955756817872,0.00161351735472627,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"27","2000",0.000748701542592538,0.000609610933585774,0.00091952747071518,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"28","2001",0.000770839567514086,0.000626319735609137,0.00094870655523478,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"29","2002",0.00059981552438184,0.000486327096062584,0.000739787410988021,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"30","2003",0.00311669991287016,0.00258270529230751,0.00376110211870364,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"31","2004",0.000444843205810535,0.00035876420766333,0.000551575306368056,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"32","2005",0.00167041957601013,0.00137791385724758,0.00202501886837219,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"33","2006",0.000615209313748406,0.000500663551317848,0.000755961760600591,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"34","2007",0.0006766486942492,0.000552649498070962,0.000828469865669466,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"35","2008",0.000494005141066736,0.000399066167756206,0.000611530365434168,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"36","2009",0.00034029338020317,0.000273122173243978,0.000423984560589508,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"37","2010",0.00101411940589687,0.000830449433713727,0.00123841154881338,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"38","2011",0.000636245830592407,0.000516910954954976,0.000783130543212191,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"39","2012",0.00159862444126389,0.0013111095086661,0.00194918890246346,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"40","2013",0.000362943406699702,0.000292313618711571,0.000450638998782889,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"41","2014",0.00214793014104129,0.00177885953567625,0.00259357402777717,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"42","2015",0.000520880239782555,0.000423616981414606,0.000640475325823604,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"43","2016",0.000202148352395319,0.000159438629946345,0.000256298968386103,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"44","2017",0.00126672797635165,0.0010420893494221,0.00153979096606427,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"45","2018",0.00146342206119695,0.00120411558562297,0.00177857022595546,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"46","2023",0.000833209526961906,0.000646576827709332,0.00107371326355694,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"47","2024",0.0017867177425281,0.00143393268803843,0.00222629717426399,"Striped Bass","YoY",-90845.8376800335,0.414281769987855,0.0106125121044872,FALSE
"48","1974",2.22044604925031e-16,2.22044604925031e-16,Inf,"Striped Bass","Yearling",-6984.68205001581,0.304112500469831,0.000410550945351736,TRUE
"49","1975",2.22044604925031e-16,2.22044604925031e-16,Inf,"Striped Bass","Yearling",-6984.68205001581,0.304112500469831,0.000410550945351736,TRUE
"50","1976",2.22044604925031e-16,2.22044604925031e-16,Inf,"Striped Bass","Yearling",-6984.68205001581,0.304112500469831,0.000410550945351736,TRUE
"51","1977",2.22044604925031e-16,2.22044604925031e-16,Inf,"Striped Bass","Yearling",-6984.68205001581,0.304112500469831,0.000410550945351736,TRUE
"52","1978",2.22044604925031e-16,2.22044604925031e-16,Inf,"Striped Bass","Yearling",-6984.68205001581,0.304112500469831,0.000410550945351736,TRUE
"53","1979",2.22044604925031e-16,2.22044604925031e-16,Inf,"Striped Bass","Yearling",-6984.68205001581,0.304112500469831,0.000410550945351736,TRUE
"54","1980",0.000238623644611405,0.000174501332483083,0.000326308360843893,"Striped Bass","Yearling",-6984.68205001581,0.304112500469831,0.000410550945351736,FALSE
"55","1981",0.000160852507009038,0.000107147655800383,0.00024147545569541,"Striped Bass","Yearling",-6984.68205001581,0.304112500469831,0.000410550945351736,FALSE
"56","1982",0.000115562373498515,7.28558234020238e-05,0.000183302604308215,"Striped Bass","Yearling",-6984.68205001581,0.304112500469831,0.000410550945351736,FALSE
"57","1983",0.000115430481204026,7.46438171374925e-05,0.000178503679232401,"Striped Bass","Yearling",-6984.68205001581,0.304112500469831,0.000410550945351736,FALSE
"58","1984",8.87855963032535e-05,5.0096105857934e-05,0.000157355187113328,"Striped Bass","Yearling",-6984.68205001581,0.304112500469831,0.000410550945351736,FALSE
"59","1985",7.76224723741831e-05,5.86027500420704e-05,0.000102815110436888,"Striped Bass","Yearling",-6984.68205001581,0.304112500469831,0.000410550945351736,FALSE
