"","YEAR","AI","LCI","UCI","SPECIES","LIFE.STAGE","AIC","DEV.EXP","RMSE","NA.fit"
"1","1974",2.22044604925031e-16,2.22044604925031e-16,Inf,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,TRUE
"2","1975",2.22044604925031e-16,2.22044604925031e-16,Inf,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,TRUE
"3","1976",2.22044604925031e-16,2.22044604925031e-16,Inf,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,TRUE
"4","1977",2.22044604925031e-16,2.22044604925031e-16,Inf,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,TRUE
"5","1978",2.22044604925031e-16,2.22044604925031e-16,Inf,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,TRUE
"6","1979",2.22044604925031e-16,2.22044604925031e-16,Inf,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,TRUE
"7","1980",1.83320035816832e-05,1.05810989368228e-05,3.17606287707348e-05,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,FALSE
"8","1981",1.9616085151887e-05,1.08796590434582e-05,3.5367909522629e-05,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,FALSE
"9","1982",9.72992470040215e-06,4.88133935574372e-06,1.93945611595512e-05,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,FALSE
"10","1983",1.57480957305824e-06,6.31559735861844e-07,3.92682600009574e-06,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,FALSE
"11","1984",7.99231847270835e-06,3.87413251235111e-06,1.64881181440099e-05,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,FALSE
"12","1985",1.01651331902946e-06,5.3717405594232e-07,1.92358382973589e-06,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,FALSE
"13","1986",3.89843141241365e-06,2.22146579228982e-06,6.84132410683131e-06,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,FALSE
"14","1987",2.26845009360901e-06,1.29903184781037e-06,3.96130844356784e-06,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,FALSE
"15","1988",4.40364199633254e-06,2.58448595176377e-06,7.50325720231895e-06,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,FALSE
"16","1989",2.87154200561589e-06,1.63948952956783e-06,5.02946395283788e-06,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,FALSE
"17","1990",1.67366303120238e-07,5.96754357595207e-08,4.69397149155569e-07,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,FALSE
"18","1991",2.38774210093631e-06,1.34351899308897e-06,4.24356661119879e-06,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,FALSE
"19","1992",3.52657628492287e-06,2.04208069396999e-06,6.09022960263251e-06,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,FALSE
"20","1993",3.36737519672126e-06,1.93931519777352e-06,5.84702049904617e-06,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,FALSE
"21","1994",8.32855395423294e-06,4.98499015333683e-06,1.39147337978467e-05,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,FALSE
"22","1995",3.3008552944458e-06,1.91257538767534e-06,5.69684507344524e-06,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,FALSE
"23","1996",3.06756085486324e-06,1.74749023514436e-06,5.38482528202051e-06,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,FALSE
"24","1997",2.00797709706985e-06,1.11782286502406e-06,3.60698653473178e-06,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,FALSE
"25","1998",1.55375478257054e-06,8.66633374895852e-07,2.78566922794884e-06,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,FALSE
"26","1999",2.57642823970658e-06,1.49416828663443e-06,4.44259360457278e-06,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,FALSE
"27","2000",7.64107594189644e-07,3.89028671385064e-07,1.50081589981417e-06,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,FALSE
"28","2001",2.03960623985375e-06,1.15504727077647e-06,3.60157867032908e-06,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,FALSE
"29","2002",5.79212725338691e-07,2.85602156152737e-07,1.17466683625056e-06,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,FALSE
"30","2003",3.87790723727575e-06,2.31397629666687e-06,6.49884122087905e-06,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,FALSE
"31","2004",1.56446462276019e-06,8.72124975033843e-07,2.80642066897947e-06,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,FALSE
"32","2005",1.03680320151376e-06,5.4897875227012e-07,1.95811017133913e-06,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,FALSE
"33","2006",2.96402735709215e-06,1.740372412902e-06,5.04803346023009e-06,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,FALSE
"34","2007",5.79370640755264e-07,2.8438373389859e-07,1.18034296395048e-06,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,FALSE
"35","2008",2.65815970092818e-06,1.55079357193719e-06,4.55625630870538e-06,"Tessellated Darter","YoY",-5162.30672692807,0.483247747552094,0.000686117035522116,FALSE
