"","YEAR","AI","LCI","UCI","SPECIES","LIFE.STAGE","AIC","DEV.EXP","RMSE","NA.fit"
"1","1974",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"2","1975",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"3","1976",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"4","1977",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"5","1978",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"6","1979",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"7","1980",0.0222820191701367,0.0167662302681566,0.0296124036445628,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"8","1981",0.018970764282485,0.0140134567006376,0.0256817361447467,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"9","1982",0.0356046471643286,0.0266347730094808,0.0475953333353015,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"10","1983",0.0247071275294685,0.0183985578694146,0.0331788042894497,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"11","1984",0.0466542401827243,0.0345704194671115,0.0629618662596226,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"12","1985",0.0060232093256455,0.00449241254174072,0.0080756275705894,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"13","1986",0.00349764758108589,0.0025873691801472,0.00472817667279318,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"14","1987",0.00124180562745395,0.000902422614580166,0.00170882377221202,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"15","1988",0.00758803109541496,0.00572144646290318,0.0100635768032282,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"16","1989",0.00598288350712218,0.00450461280473314,0.00794627565374404,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"17","1990",0.00167371699664541,0.001229358072094,0.00227869214710418,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"18","1991",0.00954695142829469,0.00724523928622097,0.0125798856288372,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"19","1992",0.00127558483274424,0.000927144345188584,0.00175497663764123,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"20","1993",0.00422383835663337,0.00315537852859402,0.00565409515888315,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"21","1994",0.00387421241060744,0.00289453108159194,0.00518547612010778,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"22","1995",0.00624382693294927,0.00472273018010638,0.00825483846882496,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"23","1996",0.00293286892187583,0.00219143890941391,0.00392514711496365,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"24","1997",0.00428353224076478,0.00323851183686266,0.00566576544473797,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"25","1998",0.0055782848505313,0.0042421429287792,0.00733526955505525,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"26","1999",0.00813070966501364,0.00621441734334194,0.0106379143859036,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"27","2000",0.00685471175242589,0.00523068653883056,0.00898296482881013,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"28","2001",0.00513522213388109,0.0038965727949667,0.00676761547952233,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"29","2002",0.00463812487048475,0.00350937707000019,0.00612992046312311,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"30","2003",0.00236922201568148,0.00177576602512035,0.00316100932227792,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"31","2004",0.00144834111486001,0.00107436887679714,0.00195248767001469,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"32","2005",0.0039876739719504,0.00302482713776178,0.00525700907270258,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"33","2006",0.000656170157055953,0.000476754402942716,0.000903104978901617,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"34","2007",0.00282115015244164,0.00212844527053933,0.00373929660902429,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"35","2008",0.00116892451642125,0.000860929438677484,0.00158710396428031,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"36","2009",0.000429149981864691,0.00030607726306863,0.000601709859425818,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"37","2010",0.000101520792143785,6.68209381026247e-05,0.000154240145830829,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"38","2011",0.000244829529651625,0.000170712277628244,0.00035112587929949,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"39","2012",0.00402361966054102,0.00300693647356465,0.00538405626956927,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"40","2013",0.00137523131464708,0.00101872991095847,0.00185648928969461,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"41","2014",0.000506316889947331,0.00036616812906766,0.000700106788918727,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"42","2015",0.000462891378309663,0.000332137328549808,0.000645119984101056,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"43","2016",0.00150400387960517,0.00110787055252271,0.0020417797591213,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"44","2017",0.00101503380445055,0.000745928741915041,0.00138122258371792,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"45","2018",0.000361737454755007,0.000252378105616184,0.000518483906728553,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"46","2023",0.0016066860577667,0.00116744896905805,0.00221118023711541,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"47","2024",0.000534522363837337,0.000382051819647002,0.000747841373210159,"Weakfish","YoY",-45681.2485862249,0.579032157535665,0.00665377641604048,FALSE
"48","1974",2.22044604925031e-16,2.22044604925031e-16,Inf,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,TRUE
"49","1975",2.22044604925031e-16,2.22044604925031e-16,Inf,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,TRUE
"50","1976",2.22044604925031e-16,2.22044604925031e-16,Inf,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,TRUE
"51","1977",2.22044604925031e-16,2.22044604925031e-16,Inf,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,TRUE
"52","1978",2.22044604925031e-16,2.22044604925031e-16,Inf,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,TRUE
"53","1979",2.22044604925031e-16,2.22044604925031e-16,Inf,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,TRUE
"54","1980",0.00012123303857445,4.69603439914585e-05,0.000312975766205361,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"55","1981",1.80597452365497e-05,4.18296542262965e-06,7.79720521342589e-05,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"56","1982",2.22044604925031e-16,2.22044604925031e-16,Inf,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,TRUE
"57","1983",0.000186339093357702,7.18799734553812e-05,0.000483058855536779,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"58","1984",2.22044604925031e-16,2.22044604925031e-16,Inf,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,TRUE
"59","1985",4.45479345911697e-06,1.29134447163818e-06,1.53678473863879e-05,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"60","1986",7.57488648959609e-07,1.09905088253305e-07,5.22076877805882e-06,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"61","1987",1.97968032589287e-06,4.71961944719547e-07,8.30391991679786e-06,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"62","1988",2.28393388480675e-05,9.53374754990917e-06,5.47146225853038e-05,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"63","1989",1.95100407026333e-05,8.11757791209551e-06,4.68910421729661e-05,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"64","1990",3.34148964675834e-05,1.44724508925078e-05,7.71503952048193e-05,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"65","1991",4.61165630209806e-05,2.12118394523145e-05,0.000100261808489033,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"66","1992",7.08441370380078e-07,9.89397219935745e-08,5.07267622298956e-06,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"67","1993",4.46671435517953e-07,4.58805310051828e-08,4.34858461610069e-06,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"68","1994",1.76884529119596e-06,3.93918343640571e-07,7.94279757390786e-06,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"69","1995",5.40999227949507e-06,1.75665148160903e-06,1.66612539656345e-05,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"70","1996",4.6934012251039e-06,1.55715538882228e-06,1.41463178420923e-05,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"71","1997",4.62523811718243e-07,5.67369006818609e-08,3.77053159117601e-06,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"72","1998",7.26733545192182e-06,2.68200611485336e-06,1.96920373440861e-05,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"73","1999",6.04593554558484e-05,2.92466553115274e-05,0.00012498296380222,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"74","2000",2.02033261582203e-05,8.7665194387839e-06,4.65605980464298e-05,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"75","2001",1.95004975404718e-05,8.41516786139983e-06,4.51885702803665e-05,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"76","2002",7.48048865930223e-06,2.79006389092866e-06,2.00560678068644e-05,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"77","2003",3.0725185698121e-06,9.08606356358839e-07,1.03899453220553e-05,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"78","2004",4.05288403378234e-06,1.30093248143469e-06,1.26262271299223e-05,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"79","2005",1.0014753532797e-05,3.96968916688479e-06,2.52652749639279e-05,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"80","2006",6.18909531053702e-06,2.23151660235141e-06,1.71654115064832e-05,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"81","2007",1.11971105185498e-05,4.50955239309809e-06,2.78021570736171e-05,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"82","2008",7.87819215983447e-07,1.32029086685225e-07,4.70092714155107e-06,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"83","2009",2.22044604925031e-16,2.22044604925031e-16,Inf,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,TRUE
"84","2010",1.78099553537639e-06,4.42038665618032e-07,7.17571865030357e-06,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"85","2011",3.1765514217877e-06,9.5248070091883e-07,1.0593893320387e-05,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"86","2012",2.22044604925031e-16,2.22044604925031e-16,Inf,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,TRUE
"87","2013",1.53714311054566e-06,3.51178836345122e-07,6.72822134411295e-06,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"88","2014",4.66519084891794e-07,6.22842417579357e-08,3.49430370227711e-06,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"89","2015",4.91887290013727e-06,1.64511855586158e-06,1.47073355421691e-05,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"90","2016",1.56965799042395e-06,3.16958949725598e-07,7.77332903530498e-06,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"91","2017",1.47788678739829e-06,3.2906386508282e-07,6.63746338667941e-06,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"92","2018",2.38619083704776e-06,5.81522209180381e-07,9.79138306486329e-06,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"93","2023",1.41818044310755e-06,2.06327494299059e-07,9.74778361965449e-06,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"94","2024",1.17392921825439e-05,3.5041243251868e-06,3.93282224482119e-05,"Weakfish","Yearling",-172.295629942485,0.510810397755656,0.000258573043257955,FALSE
"95","1974",2.22044604925031e-16,2.22044604925031e-16,Inf,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,TRUE
"96","1975",2.22044604925031e-16,2.22044604925031e-16,Inf,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,TRUE
"97","1976",2.22044604925031e-16,2.22044604925031e-16,Inf,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,TRUE
"98","1977",2.22044604925031e-16,2.22044604925031e-16,Inf,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,TRUE
"99","1978",2.22044604925031e-16,2.22044604925031e-16,Inf,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,TRUE
"100","1979",2.22044604925031e-16,2.22044604925031e-16,Inf,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,TRUE
"101","1980",2.22044604925031e-16,2.22044604925031e-16,Inf,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,TRUE
"102","1981",2.22044604925031e-16,2.22044604925031e-16,Inf,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,TRUE
"103","1982",2.22044604925031e-16,2.22044604925031e-16,Inf,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,TRUE
"104","1983",2.22044604925031e-16,2.22044604925031e-16,Inf,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,TRUE
"105","1984",2.22044604925031e-16,2.22044604925031e-16,Inf,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,TRUE
"106","1985",2.22044604925031e-16,2.22044604925031e-16,Inf,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,TRUE
"107","1986",1.05911772175236e-06,3.43743622446052e-07,3.26327610254342e-06,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,FALSE
"108","1987",5.82808275925035e-07,1.34464715491671e-07,2.52605663310797e-06,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,FALSE
"109","1988",4.69221829106376e-06,2.25038911920394e-06,9.78360244595462e-06,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,FALSE
"110","1989",5.80365827586439e-06,2.93842369422506e-06,1.14627612924596e-05,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,FALSE
"111","1990",1.54895863247258e-06,5.181042355434e-07,4.63086900379209e-06,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,FALSE
"112","1991",8.43617662911232e-06,4.65199873880976e-06,1.52986017652683e-05,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,FALSE
"113","1992",3.58702340063242e-06,1.59650159639029e-06,8.05933229617584e-06,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,FALSE
"114","1993",9.89237370598141e-07,2.7266612296856e-07,3.58897014683692e-06,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,FALSE
"115","1994",2.22044604925031e-16,2.22044604925031e-16,Inf,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,TRUE
"116","1995",6.62586939008635e-07,1.49460627537918e-07,2.93737192849302e-06,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,FALSE
"117","1996",2.66840933475502e-06,1.06480149556091e-06,6.68707586108043e-06,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,FALSE
"118","1997",1.30210515920088e-06,4.03350984437195e-07,4.2034801228595e-06,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,FALSE
"119","1998",1.5635302446236e-06,5.46799460592735e-07,4.47079231424762e-06,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,FALSE
"120","1999",4.88215647458036e-06,2.40402733468306e-06,9.91480067568754e-06,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,FALSE
"121","2000",4.23148934730508e-06,2.0257996314429e-06,8.83873302099623e-06,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,FALSE
"122","2001",1.12437151365278e-06,3.38523476658728e-07,3.73448634402487e-06,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,FALSE
"123","2002",6.2281299224151e-07,1.44157543503214e-07,2.69077853214234e-06,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,FALSE
"124","2003",2.22044604925031e-16,2.22044604925031e-16,Inf,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,TRUE
"125","2004",7.16500031472292e-07,1.78085402883085e-07,2.88273090769168e-06,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,FALSE
"126","2005",1.69929564599851e-06,6.12777843669882e-07,4.71232065966325e-06,"Weakfish","Older.age",311.614434308251,-3.56686314933288,3.61582392793247e-05,FALSE
