"","YEAR","AI","LCI","UCI","SPECIES","LIFE.STAGE","AIC","DEV.EXP","RMSE","NA.fit"
"1","1974",2.22044604925031e-16,2.22044604925031e-16,Inf,"White Catfish","YoY",-21198.5662615166,0.498746954894094,0.000645156337356962,TRUE
"2","1975",2.22044604925031e-16,2.22044604925031e-16,Inf,"White Catfish","YoY",-21198.5662615166,0.498746954894094,0.000645156337356962,TRUE
"3","1976",2.22044604925031e-16,2.22044604925031e-16,Inf,"White Catfish","YoY",-21198.5662615166,0.498746954894094,0.000645156337356962,TRUE
"4","1977",2.22044604925031e-16,2.22044604925031e-16,Inf,"White Catfish","YoY",-21198.5662615166,0.498746954894094,0.000645156337356962,TRUE
"5","1978",2.22044604925031e-16,2.22044604925031e-16,Inf,"White Catfish","YoY",-21198.5662615166,0.498746954894094,0.000645156337356962,TRUE
"6","1979",2.22044604925031e-16,2.22044604925031e-16,Inf,"White Catfish","YoY",-21198.5662615166,0.498746954894094,0.000645156337356962,TRUE
"7","1980",0.000125489758452003,8.43865587315184e-05,0.00018661359952412,"White Catfish","YoY",-21198.5662615166,0.498746954894094,0.000645156337356962,FALSE
"8","1981",0.000240209530342258,0.00016266115397555,0.000354728938391284,"White Catfish","YoY",-21198.5662615166,0.498746954894094,0.000645156337356962,FALSE
"9","1982",0.000974423857149724,0.000704508315005355,0.00134775109556419,"White Catfish","YoY",-21198.5662615166,0.498746954894094,0.000645156337356962,FALSE
"10","1983",0.00077506475852347,0.000558504910974877,0.0010755955195747,"White Catfish","YoY",-21198.5662615166,0.498746954894094,0.000645156337356962,FALSE
"11","1984",0.00149250896489307,0.00106602225670661,0.00208962148423442,"White Catfish","YoY",-21198.5662615166,0.498746954894094,0.000645156337356962,FALSE
"12","1985",4.62054760643858e-05,3.18933744083481e-05,6.69401108519173e-05,"White Catfish","YoY",-21198.5662615166,0.498746954894094,0.000645156337356962,FALSE
"13","1986",5.19739861377612e-05,3.6121831036897e-05,7.47828988040206e-05,"White Catfish","YoY",-21198.5662615166,0.498746954894094,0.000645156337356962,FALSE
"14","1987",0.000155170757843287,0.000114315121891564,0.000210627987717143,"White Catfish","YoY",-21198.5662615166,0.498746954894094,0.000645156337356962,FALSE
"15","1988",0.000139121728951542,0.000101814754053991,0.000190098730250849,"White Catfish","YoY",-21198.5662615166,0.498746954894094,0.000645156337356962,FALSE
"16","1989",0.000177191503934956,0.000130810118601745,0.000240018351809008,"White Catfish","YoY",-21198.5662615166,0.498746954894094,0.000645156337356962,FALSE
"17","1990",8.35649906864817e-05,5.95308798501208e-05,0.000117302275491526,"White Catfish","YoY",-21198.5662615166,0.498746954894094,0.000645156337356962,FALSE
"18","1991",5.56543052616878e-05,3.92110870261331e-05,7.89930075668853e-05,"White Catfish","YoY",-21198.5662615166,0.498746954894094,0.000645156337356962,FALSE
"19","1992",1.8790476494511e-05,1.20530277314054e-05,2.92940508193455e-05,"White Catfish","YoY",-21198.5662615166,0.498746954894094,0.000645156337356962,FALSE
"20","1993",0.000259779531930762,0.000194152750308512,0.000347589231174578,"White Catfish","YoY",-21198.5662615166,0.498746954894094,0.000645156337356962,FALSE
"21","1994",0.000328399267827072,0.000246340451643085,0.000437792812305189,"White Catfish","YoY",-21198.5662615166,0.498746954894094,0.000645156337356962,FALSE
"22","1995",0.000136433721851299,0.000100485187349208,0.000185242829806441,"White Catfish","YoY",-21198.5662615166,0.498746954894094,0.000645156337356962,FALSE
"23","1996",0.00023834139606302,0.000177407192494128,0.00032020472382567,"White Catfish","YoY",-21198.5662615166,0.498746954894094,0.000645156337356962,FALSE
"24","1997",1.60567663540387e-05,9.98139896965358e-06,2.58300210754062e-05,"White Catfish","YoY",-21198.5662615166,0.498746954894094,0.000645156337356962,FALSE
"25","1998",0.00032030329987563,0.000243552896262014,0.000421239925641644,"White Catfish","YoY",-21198.5662615166,0.498746954894094,0.000645156337356962,FALSE
"26","1999",3.94548302166497e-05,2.70292365894523e-05,5.75925858014106e-05,"White Catfish","YoY",-21198.5662615166,0.498746954894094,0.000645156337356962,FALSE
"27","2000",6.92450541604065e-05,4.95393626514992e-05,9.67892453402915e-05,"White Catfish","YoY",-21198.5662615166,0.498746954894094,0.000645156337356962,FALSE
"28","2001",9.72253704245746e-05,7.0644816831073e-05,0.000133807023334767,"White Catfish","YoY",-21198.5662615166,0.498746954894094,0.000645156337356962,FALSE
"29","2002",1.96950806751667e-05,1.28007430419813e-05,3.03026317713887e-05,"White Catfish","YoY",-21198.5662615166,0.498746954894094,0.000645156337356962,FALSE
"30","2003",5.80743172882147e-05,4.1148652852569e-05,8.19620107753216e-05,"White Catfish","YoY",-21198.5662615166,0.498746954894094,0.000645156337356962,FALSE
"31","2004",2.77596753843238e-05,1.86151431109879e-05,4.13963821201123e-05,"White Catfish","YoY",-21198.5662615166,0.498746954894094,0.000645156337356962,FALSE
