"","YEAR","AI","LCI","UCI","SPECIES","LIFE.STAGE","AIC","DEV.EXP","RMSE","NA.fit"
"1","1974",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"2","1975",2.22044604925031e-16,2.22044604925031e-16,6.37010255596137e+54,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"3","1976",2.22044604925031e-16,2.22044604925031e-16,3.65292837654823e+38,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"4","1977",2.22044604925031e-16,2.22044604925031e-16,2.819607503666e+45,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"5","1978",2.22044604925031e-16,2.22044604925031e-16,5.22548563997507e+37,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"6","1979",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"7","1980",0.00909383096615004,0.00749729985733472,0.0110303393507737,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"8","1981",0.00780767894791754,0.00633496002521289,0.00962276799082187,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"9","1982",0.00845968263386712,0.00684884212411283,0.0104493911479998,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"10","1983",0.00447738181264916,0.00359842589924447,0.00557103257300659,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"11","1984",0.00229980395228569,0.0017264495676474,0.0030635694885407,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"12","1985",0.00111783165909737,0.000909605345882668,0.00137372501572959,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"13","1986",0.00189175185453337,0.00155062729396843,0.00230792086083538,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"14","1987",0.00215174276439452,0.00178372029775866,0.00259569671878603,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"15","1988",0.00279932766999058,0.00232367180964989,0.00337235033425635,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"16","1989",0.00245198070201517,0.00203378487273282,0.00295616780499313,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"17","1990",0.000668590896565027,0.000535956701395103,0.000834048321079004,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"18","1991",0.000378368215608628,0.000298009054332524,0.000480396499708744,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"19","1992",0.00112608195847343,0.000919342426696652,0.00137931258296835,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"20","1993",0.000239479314696382,0.000184833375975915,0.000310281310746181,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"21","1994",0.00089849116730391,0.000727704500875626,0.00110936015477678,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"22","1995",0.00104207680130021,0.000849956730887855,0.00127762275460039,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"23","1996",0.000348244482954165,0.00027237860151043,0.00044524136343864,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"24","1997",0.00042278665214399,0.000343194964919714,0.000520836758991903,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"25","1998",0.000286019439461277,0.000231504907742941,0.000353370995661917,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"26","1999",0.00132255168173493,0.00110992504881804,0.00157591087138952,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"27","2000",0.000425470313913768,0.000347995311864008,0.00052019375506019,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"28","2001",0.000617582729579777,0.000510402873702915,0.000747269358238783,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"29","2002",0.000470195665270184,0.000386794727488591,0.000571579569024481,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"30","2003",0.00250312872385978,0.00212376634867207,0.00295025552699317,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"31","2004",0.000322748202628431,0.000262115705160904,0.00039740618455479,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"32","2005",0.00121473545086726,0.00101960697875284,0.00144720686141104,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"33","2006",0.000523257027664331,0.000431503687763867,0.000634520456636147,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"34","2007",0.000101540982218343,7.88615896124792e-05,0.000130742622872952,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"35","2008",0.000898299767078977,0.000749235940194386,0.00107702050615029,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"36","2009",0.000356420926229672,0.00029054982030179,0.00043722579667221,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"37","2010",0.00156385184161368,0.00131863995223693,0.00185466288835687,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"38","2011",0.000797741486797383,0.000663337305446249,0.00095937839547495,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"39","2012",0.00107763928030054,0.000897662982090798,0.0012936997978259,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"40","2013",0.000214757707896859,0.000171643363868485,0.000268701754974056,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"41","2014",0.000884651677065565,0.000737602099590745,0.00106101730210522,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"42","2015",0.000281979432070127,0.000227823972071545,0.00034900804944978,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"43","2016",0.000230112264551233,0.000184679906949257,0.000286721252850997,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"44","2017",0.000943531321770619,0.000788322466938448,0.00112929846921605,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"45","2018",0.000661597744483666,0.000547991932623267,0.000798755509794689,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"46","2023",0.000331652400623207,0.000243927139199072,0.000450926925147797,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"47","2024",0.000145430278422049,0.000104435959767667,0.000202516124991487,"White Perch","YoY",-63682.1542755766,0.424373608804488,0.00431912857240144,FALSE
"48","1974",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"49","1975",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"50","1976",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"51","1977",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"52","1978",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"53","1979",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"54","1980",0.010226166431047,0.00841503404148386,0.0124271012285807,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"55","1981",0.0693363536048758,0.0579278981752959,0.0829916168660613,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"56","1982",0.0110591964611144,0.00891219795319679,0.0137234189599273,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"57","1983",0.012369149408653,0.0101085162110039,0.0151353427050979,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"58","1984",0.0168762949854258,0.0134955953982153,0.0211038730808997,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"59","1985",0.000931764800804793,0.000761118854631126,0.00114067026291125,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"60","1986",0.00194223681889855,0.00160331785877782,0.00235279850469619,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"61","1987",0.00323893316538638,0.00271070269792911,0.003870099091964,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"62","1988",0.00238818719937318,0.00198647646993251,0.00287113297619059,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"63","1989",0.0022721781730665,0.00188978155352305,0.00273195261141957,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"64","1990",0.000918308143271678,0.000747621751081045,0.00112796323111212,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"65","1991",0.000785268708241371,0.000638510061042442,0.000965759166169323,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"66","1992",0.000668895162684481,0.000541943928642791,0.000825584926808184,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"67","1993",0.000313294931839398,0.000247805846575113,0.000396091196688136,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"68","1994",0.000511163298780937,0.000410558907208303,0.000636420044561452,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"69","1995",0.000976512317562879,0.000799366355296291,0.00119291523846857,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"70","1996",0.00101554916844891,0.000828946986540801,0.00124415690060115,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"71","1997",0.000154378899247891,0.000120959018825866,0.000197032389683159,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"72","1998",0.000201539299692626,0.000161932803764939,0.000250832989834198,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"73","1999",0.000363572005317626,0.000297080909096678,0.000444944791143289,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"74","2000",0.000829588752629259,0.000691499174591493,0.000995254258829069,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"75","2001",0.000120696290494826,9.47389558230493e-05,0.000153765622733063,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"76","2002",0.000306875419890412,0.000250478289402766,0.000375970801930417,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"77","2003",0.000430248634578781,0.000354111215517237,0.00052275635293425,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"78","2004",0.000439341001757717,0.00036125056954472,0.000534312004182404,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"79","2005",0.000594252266865798,0.000492828878846777,0.000716548424478452,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"80","2006",0.000996009763769064,0.000835557753790573,0.00118727334528686,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"81","2007",0.000185522967751548,0.000148548528975734,0.000231700521039589,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"82","2008",0.000295595991978083,0.000240893778536392,0.000362719996358505,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"83","2009",0.000636857957118174,0.000529289376731984,0.000766287923723268,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"84","2010",0.00052976114719133,0.000438541535971008,0.000639955055687194,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"85","2011",0.000944884361549234,0.000790849838998371,0.00112892032428187,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"86","2012",0.000471471939691756,0.00038598030768746,0.000575899302346529,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"87","2013",0.000336236749830805,0.000273686292333685,0.000413082989918048,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"88","2014",0.000114736482996391,8.98814049605834e-05,0.000146464783635217,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"89","2015",4.76329575416138e-05,3.55337793090154e-05,6.38518808942322e-05,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"90","2016",0.000119943104572805,9.42517682730419e-05,0.000152637436921994,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"91","2017",0.000246338108633684,0.000199298033917752,0.000304480995483696,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"92","2018",0.000343773098483298,0.000280556901510802,0.000421233420402089,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"93","2023",0.000850623534575992,0.000654403699118568,0.00110567895406022,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"94","2024",0.000567879148701373,0.000434789058039033,0.000741708471193505,"White Perch","Yearling",-66254.378493518,0.410529910262193,0.0154160359857336,FALSE
"95","1974",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"White Perch","Older.age",-148201.341199746,0.426766204418481,0.00797591035015329,FALSE
"96","1975",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"White Perch","Older.age",-148201.341199746,0.426766204418481,0.00797591035015329,FALSE
"97","1976",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"White Perch","Older.age",-148201.341199746,0.426766204418481,0.00797591035015329,FALSE
"98","1977",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"White Perch","Older.age",-148201.341199746,0.426766204418481,0.00797591035015329,FALSE
"99","1978",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"White Perch","Older.age",-148201.341199746,0.426766204418481,0.00797591035015329,FALSE
"100","1979",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,"White Perch","Older.age",-148201.341199746,0.426766204418481,0.00797591035015329,FALSE
"101","1980",0.0569349145778692,0.0496665931771128,0.0652668985454602,"White Perch","Older.age",-148201.341199746,0.426766204418481,0.00797591035015329,FALSE
"102","1981",0.0576131233703822,0.0498489184988605,0.0665866398799956,"White Perch","Older.age",-148201.341199746,0.426766204418481,0.00797591035015329,FALSE
"103","1982",0.0583472732578948,0.0503911091187229,0.067559622246269,"White Perch","Older.age",-148201.341199746,0.426766204418481,0.00797591035015329,FALSE
"104","1983",0.0486791228074251,0.0421138646708998,0.0562678589537707,"White Perch","Older.age",-148201.341199746,0.426766204418481,0.00797591035015329,FALSE
"105","1984",0.103288106178133,0.0888320647163109,0.120096644290949,"White Perch","Older.age",-148201.341199746,0.426766204418481,0.00797591035015329,FALSE
"106","1985",0.00815216978722288,0.00715730033536725,0.00928532674691783,"White Perch","Older.age",-148201.341199746,0.426766204418481,0.00797591035015329,FALSE
"107","1986",0.0094796617115064,0.00832281448942746,0.0107973073626422,"White Perch","Older.age",-148201.341199746,0.426766204418481,0.00797591035015329,FALSE
"108","1987",0.013169154638233,0.0116440447801364,0.0148940198324849,"White Perch","Older.age",-148201.341199746,0.426766204418481,0.00797591035015329,FALSE
"109","1988",0.00822525783043424,0.00724069812556927,0.00934369382673314,"White Perch","Older.age",-148201.341199746,0.426766204418481,0.00797591035015329,FALSE
"110","1989",0.0084662431832155,0.00745750935595658,0.00961142255625757,"White Perch","Older.age",-148201.341199746,0.426766204418481,0.00797591035015329,FALSE
"111","1990",0.00371990825934078,0.00324675265675345,0.00426201775153041,"White Perch","Older.age",-148201.341199746,0.426766204418481,0.00797591035015329,FALSE
"112","1991",0.00451981969029515,0.00395672143700809,0.00516305490745569,"White Perch","Older.age",-148201.341199746,0.426766204418481,0.00797591035015329,FALSE
"113","1992",0.00473695348807805,0.00415110025118754,0.00540548938604784,"White Perch","Older.age",-148201.341199746,0.426766204418481,0.00797591035015329,FALSE
"114","1993",0.00316158407835718,0.00275408443687747,0.00362937815220164,"White Perch","Older.age",-148201.341199746,0.426766204418481,0.00797591035015329,FALSE
"115","1994",0.00266108056736635,0.00231179289095551,0.00306314195087258,"White Perch","Older.age",-148201.341199746,0.426766204418481,0.00797591035015329,FALSE
"116","1995",0.00324426808028032,0.00283180571914545,0.00371680702018708,"White Perch","Older.age",-148201.341199746,0.426766204418481,0.00797591035015329,FALSE
