"","YEAR","SPECIES","AI.D","VAR","SAMPLE_N","LCI","UCI","life.stage","life.stage.1"
"95",1974,"Atlantic Tomcod",0,0,1675,0,0,"1.YOY","1.YOY"
"96",1975,"Atlantic Tomcod",0,0,880,0,0,"1.YOY","1.YOY"
"97",1976,"Atlantic Tomcod",0,0,866,0,0,"1.YOY","1.YOY"
"98",1977,"Atlantic Tomcod",0,0,818,0,0,"1.YOY","1.YOY"
"99",1978,"Atlantic Tomcod",0,0,872,0,0,"1.YOY","1.YOY"
"100",1979,"Atlantic Tomcod",0,0,2136,0,0,"1.YOY","1.YOY"
"101",1980,"Atlantic Tomcod",0.00245160489563139,1.10033702824948e-07,2023,0.00180144685886469,0.00310176293239808,"1.YOY","1.YOY"
"102",1981,"Atlantic Tomcod",0.00204929626225026,1.70320829929801e-07,1154,0.00124040535473656,0.00285818716976395,"1.YOY","1.YOY"
"103",1982,"Atlantic Tomcod",0.00233030064679756,1.37042376826897e-07,1000,0.00160472363860463,0.00305587765499049,"1.YOY","1.YOY"
"104",1983,"Atlantic Tomcod",0.000572520079320927,1.78459291917191e-08,1199,0.000310686312241682,0.000834353846400171,"1.YOY","1.YOY"
"105",1984,"Atlantic Tomcod",0.00717234321422925,5.14007997577513e-07,1641,0.00576713393319892,0.00857755249525958,"1.YOY","1.YOY"
"106",1985,"Atlantic Tomcod",0.0015149657614393,4.62363531802486e-08,1889,0.00109351401523668,0.00193641750764193,"1.YOY","1.YOY"
"107",1986,"Atlantic Tomcod",0.00286434485771083,7.15032069054065e-08,2222,0.00234023921984017,0.00338845049558149,"1.YOY","1.YOY"
"108",1987,"Atlantic Tomcod",0.00269243536050865,9.37616565134134e-08,2065,0.00209227306607328,0.00329259765494402,"1.YOY","1.YOY"
"109",1988,"Atlantic Tomcod",0.00238550094408454,8.50720854022549e-08,1733,0.0018138254038685,0.00295717648430058,"1.YOY","1.YOY"
"110",1989,"Atlantic Tomcod",0.00502916988427925,4.53596860631112e-07,1725,0.00370911772629439,0.0063492220422641,"1.YOY","1.YOY"
