"","Env.value","AI","LCI","UCI","SPECIES","LIFE.STAGE","ENV.COR","p.value","AIC","DEV.EXP","RMSE"
"1",12.3105783471458,1.28674361038991e-06,2.9143249738049e-08,5.68127828489075e-05,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"2",12.6319375793226,8.27150133927534e-07,1.99029343980712e-08,3.43757021136864e-05,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"3",12.9532968114993,5.31248205284016e-07,1.34610344374273e-08,2.09660451378674e-05,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"4",13.274656043676,3.40513216630382e-07,9.00985944383691e-09,1.2869152002064e-05,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"5",13.5960152758528,2.17544332251596e-07,5.96779583978968e-09,7.93015340425262e-06,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"6",13.9173745080295,1.38441580329452e-07,3.91576189196247e-09,4.8945956605422e-06,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"7",14.2387337402062,8.79330980988353e-08,2.55352734060687e-09,3.02805833260503e-06,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"8",14.5600929723829,5.59919105283012e-08,1.66301635338336e-09,1.88518533701189e-06,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"9",14.8814522045597,3.59602060814901e-08,1.08775132654535e-09,1.18881622101091e-06,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"10",15.2028114367364,2.34660155633847e-08,7.19033901401696e-10,7.65824650753686e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"11",15.5241706689131,1.57071313670465e-08,4.84247751696401e-10,5.09478825492476e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"12",15.8455299010899,1.09121415186963e-08,3.36029304060173e-10,3.54358477327124e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"13",16.1668891332666,7.95910313763345e-09,2.43409840558041e-10,2.60249637443813e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"14",16.4882483654433,6.14663884074288e-09,1.86226771237035e-10,2.02877216780179e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"15",16.8096075976201,5.05860297352469e-09,1.52065366150056e-10,1.68279370192037e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"16",17.1309668297968,4.43262564835798e-09,1.32708008870605e-10,1.4805564717378e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"17",17.4523260619735,4.1067365769092e-09,1.22984741351971e-10,1.37133152671818e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"18",17.7736852941502,3.99041012359574e-09,1.20140961671834e-10,1.32539083530813e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"19",18.095044526327,4.02830780930246e-09,1.22618005933814e-10,1.3233997472807e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"20",18.4164037585037,4.18194371184047e-09,1.29343333742615e-10,1.35211090536783e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"21",18.7377629906804,4.42051304640208e-09,1.39417130644604e-10,1.40161653758489e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"22",19.0591222228572,4.71110020106301e-09,1.51863940986185e-10,1.46147037672853e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"23",19.3804814550339,5.01273081551256e-09,1.65411351660672e-10,1.5190898312914e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"24",19.7018406872106,5.27927888788836e-09,1.78450007553105e-10,1.56182596785879e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"25",20.0231999193874,5.47757831660382e-09,1.89519686108019e-10,1.5831529077896e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"26",20.3445591515641,5.599583754025e-09,1.97985903824856e-10,1.58371568948053e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"27",20.6659183837408,5.66270136012608e-09,2.04489767861214e-10,1.56810714928959e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"28",20.9872776159175,5.70245337569393e-09,2.10792306134455e-10,1.54265471535861e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"29",21.3086368480943,5.76458311265377e-09,2.19049901931756e-10,1.51702503263598e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"30",21.629996080271,5.89403633596704e-09,2.31218600997471e-10,1.50245975798806e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"31",21.9513553124477,6.13162043238261e-09,2.49124838238844e-10,1.50915377979159e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"32",22.2727145446245,6.51496422826458e-09,2.74664623342879e-10,1.54533038798305e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"33",22.5940737768012,7.08609279454091e-09,3.10239168987323e-10,1.61851616792128e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"34",22.9154330089779,7.8943020263233e-09,3.58390651751728e-10,1.7388847666145e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"35",23.2367922411547,9.00120335669357e-09,4.21713838383425e-10,1.92124740746321e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"36",23.5581514733314,1.04873956364343e-08,5.04037242443906e-10,2.1820900912365e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"37",23.8795107055081,1.24480384145911e-08,6.11021779074689e-10,2.53597605973706e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"38",24.2008699376848,1.49776928762772e-08,7.48755492321187e-10,2.99605527033457e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"39",24.5222291698616,1.81645080979301e-08,9.22350055810424e-10,3.5772682222029e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"40",24.8435884020383,2.20961314334961e-08,1.13748033391718e-09,4.2922854116077e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"41",25.164947634215,2.69236653015041e-08,1.40576051071464e-09,5.15652380147535e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"42",25.4863068663918,3.30062984143757e-08,1.75048384705205e-09,6.2235120698399e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"43",25.8076660985685,4.10652542408831e-08,2.21134486323511e-09,7.62592544430764e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"44",26.1290253307452,5.24112091683854e-08,2.8544529664848e-09,9.62333196148277e-07,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"45",26.450384562922,6.92951237325592e-08,3.79535628278565e-09,1.26518139940905e-06,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"46",26.7717437950987,9.5518233503845e-08,5.23237390854766e-09,1.74370813155964e-06,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"47",27.0931030272754,1.36948229989802e-07,7.45789561072787e-09,2.51476001760628e-06,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"48",27.4144622594521,2.02391458283526e-07,1.08619398543521e-08,3.77117742644466e-06,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"49",27.7358214916289,3.04401508824015e-07,1.591250107994e-08,5.82311216249647e-06,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"50",28.0571807238056,4.6042628119583e-07,2.31545862188031e-08,9.15552359314761e-06,"Channel Catfish","YoY","WATER.TEMPERATURE","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"51",4.59639304444904,2.88740248965661e-08,7.37242782798734e-12,0.000113084771147243,"Channel Catfish","YoY","DISSOLVED.OXYGEN","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"52",4.71998960485683,2.85384681417317e-08,8.62372585664129e-12,9.4442260505002e-05,"Channel Catfish","YoY","DISSOLVED.OXYGEN","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"53",4.84358616526462,2.81910036253544e-08,1.00571163148975e-11,7.90219244285278e-05,"Channel Catfish","YoY","DISSOLVED.OXYGEN","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
"54",4.9671827256724,2.78165659569021e-08,1.1790086929969e-11,6.56281286330365e-05,"Channel Catfish","YoY","DISSOLVED.OXYGEN","<0.01",-372.934807912821,0.57810628952342,0.000543376178065551
