"","YEAR","SPECIES","AI.D","VAR","SAMPLE_N","LCI","UCI","life.stage","life.stage.1"
"142",1974,"Bay Anchovy",0,0,1675,0,0,"1.YOY","1.YOY"
"143",1975,"Bay Anchovy",0,0,880,0,0,"1.YOY","1.YOY"
"144",1976,"Bay Anchovy",0,0,866,0,0,"1.YOY","1.YOY"
"145",1977,"Bay Anchovy",0,0,818,0,0,"1.YOY","1.YOY"
"146",1978,"Bay Anchovy",0,0,872,0,0,"1.YOY","1.YOY"
"147",1979,"Bay Anchovy",0,0,2136,0,0,"1.YOY","1.YOY"
"148",1980,"Bay Anchovy",0.197075751053845,0.000164072983263261,2023,0.171969919609654,0.222181582498036,"1.YOY","1.YOY"
"149",1981,"Bay Anchovy",0.216661604044832,0.000165990575382573,1154,0.191409487412959,0.241913720676704,"1.YOY","1.YOY"
"150",1982,"Bay Anchovy",0.30706581921581,0.000271567086568024,1000,0.274766405602562,0.339365232829059,"1.YOY","1.YOY"
"151",1983,"Bay Anchovy",0.157625033309248,0.000100149413625026,1199,0.138010396239399,0.177239670379097,"1.YOY","1.YOY"
"152",1984,"Bay Anchovy",0.138912667698279,5.43806235132519e-05,1641,0.1244589967705,0.153366338626057,"1.YOY","1.YOY"
"153",1985,"Bay Anchovy",0.061294313447157,3.86616392001492e-05,1889,0.0491073305083286,0.0734812963859853,"1.YOY","1.YOY"
"154",1986,"Bay Anchovy",0.0384136289927359,1.48974700450062e-05,2222,0.030848569777839,0.0459786882076327,"1.YOY","1.YOY"
"155",1987,"Bay Anchovy",0.0804814760490396,8.77697177531619e-05,2065,0.0621191192362406,0.0988438328618386,"1.YOY","1.YOY"
"156",1988,"Bay Anchovy",0.153390452911268,0.000180531336118565,1733,0.127055510708312,0.179725395114225,"1.YOY","1.YOY"
"157",1989,"Bay Anchovy",0.123428249202475,0.000125338860064963,1725,0.101485100731356,0.145371397673593,"1.YOY","1.YOY"
"158",1990,"Bay Anchovy",0.0528088604569748,2.40985994204378e-05,1725,0.0431871568898535,0.062430564024096,"1.YOY","1.YOY"
"159",1991,"Bay Anchovy",0.111217399885419,4.76451784554338e-05,1716,0.0976884044476785,0.124746395323159,"1.YOY","1.YOY"
"160",1992,"Bay Anchovy",0.0804738798272062,5.51912004118632e-05,1722,0.0659128868836527,0.0950348727707596,"1.YOY","1.YOY"
"161",1993,"Bay Anchovy",0.10951914076379,9.02684687937824e-05,1707,0.0908972356593653,0.128141045868214,"1.YOY","1.YOY"
"162",1994,"Bay Anchovy",0.0928804757733375,8.07210763120048e-05,1706,0.0752708736551692,0.110490077891506,"1.YOY","1.YOY"
"163",1995,"Bay Anchovy",0.203166433843885,0.000227539716570659,1720,0.17360097130433,0.23273189638344,"1.YOY","1.YOY"
"164",1996,"Bay Anchovy",0.0353099436469963,7.34436423160822e-06,1720,0.029998248095466,0.0406216391985265,"1.YOY","1.YOY"
"165",1997,"Bay Anchovy",0.101725757935102,4.01696328392525e-05,2040,0.0893033724349144,0.11414814343529,"1.YOY","1.YOY"
"166",1998,"Bay Anchovy",0.0626364996366083,1.47041295909098e-05,2151,0.0551206906823812,0.0701523085908353,"1.YOY","1.YOY"
"167",1999,"Bay Anchovy",0.066715101289163,2.40831337651349e-05,2099,0.0570964856573715,0.0763337169209544,"1.YOY","1.YOY"
"168",2000,"Bay Anchovy",0.0164156911510071,1.64898486153602e-06,2143,0.013898800163285,0.0189325821387292,"1.YOY","1.YOY"
"169",2001,"Bay Anchovy",0.0332605495723215,5.76829046377773e-06,2098,0.0285531655168562,0.0379679336277867,"1.YOY","1.YOY"
"170",2002,"Bay Anchovy",0.0568241935188573,1.42262804506814e-05,2142,0.0494315161297554,0.0642168709079591,"1.YOY","1.YOY"
"171",2003,"Bay Anchovy",0.0476108775054188,1.53652864553248e-05,2144,0.0399279558966311,0.0552937991142064,"1.YOY","1.YOY"
"172",2004,"Bay Anchovy",0.0692766214353808,5.75302194805997e-05,2139,0.0544102805555049,0.0841429623152568,"1.YOY","1.YOY"
"173",2005,"Bay Anchovy",0.0685293725082665,7.2927103699328e-05,2142,0.0517914884851488,0.0852672565313842,"1.YOY","1.YOY"
"174",2006,"Bay Anchovy",0.04833131877937,2.52285092581089e-05,2143,0.0384866328440061,0.0581760047147339,"1.YOY","1.YOY"
"175",2007,"Bay Anchovy",0.121928015135768,5.92080731387192e-05,2140,0.106846445795355,0.137009584476182,"1.YOY","1.YOY"
"176",2008,"Bay Anchovy",0.070926615410686,2.22715956680096e-05,2142,0.0616768282824206,0.0801764025389515,"1.YOY","1.YOY"
"177",2009,"Bay Anchovy",0.0279917776906977,1.42648759948736e-05,2140,0.0205890790191384,0.035394476362257,"1.YOY","1.YOY"
"178",2010,"Bay Anchovy",0.0485519794087516,1.68814642311811e-05,2135,0.0404989158308016,0.0566050429867017,"1.YOY","1.YOY"
"179",2011,"Bay Anchovy",0.0238987204913498,6.06042808146961e-06,2094,0.0190736048950377,0.0287238360876618,"1.YOY","1.YOY"
"180",2012,"Bay Anchovy",0.218916209392302,0.000132924275698587,2143,0.196318822430008,0.241513596354597,"1.YOY","1.YOY"
"181",2013,"Bay Anchovy",0.0324318709371263,6.76851612037185e-06,2136,0.0273326620251459,0.0375310798491067,"1.YOY","1.YOY"
"182",2014,"Bay Anchovy",0.0316022304091648,5.21266608803235e-06,2132,0.0271273026953592,0.0360771581229704,"1.YOY","1.YOY"
"183",2015,"Bay Anchovy",0.054472626685876,2.64222866833492e-05,2134,0.0443977144518784,0.0645475389198736,"1.YOY","1.YOY"
"184",2016,"Bay Anchovy",0.045703632235589,9.87179955192217e-06,2132,0.0395454259091767,0.0518618385620013,"1.YOY","1.YOY"
"185",2017,"Bay Anchovy",0.0268927679969578,3.78954270248992e-06,2135,0.0230772854264452,0.0307082505674704,"1.YOY","1.YOY"
