"","YEAR","SPECIES","AI.D","VAR","SAMPLE_N","LCI","UCI","life.stage","life.stage.1"
"189",1974,"Blueback Herring",0,0,1675,0,0,"1.YOY","1.YOY"
"190",1975,"Blueback Herring",0,0,880,0,0,"1.YOY","1.YOY"
"191",1976,"Blueback Herring",0,0,866,0,0,"1.YOY","1.YOY"
"192",1977,"Blueback Herring",0,0,818,0,0,"1.YOY","1.YOY"
"193",1978,"Blueback Herring",0,0,872,0,0,"1.YOY","1.YOY"
"194",1979,"Blueback Herring",0,0,2136,0,0,"1.YOY","1.YOY"
"195",1980,"Blueback Herring",0.0272921894556652,3.78477040994865e-06,2023,0.0234791101217333,0.0311052687895972,"1.YOY","1.YOY"
"196",1981,"Blueback Herring",0.0658884176728583,1.84539313914076e-05,1154,0.05746864197316,0.0743081933725567,"1.YOY","1.YOY"
"197",1982,"Blueback Herring",0.0324681014503605,4.05423883564547e-06,1000,0.0285216139093925,0.0364145889913285,"1.YOY","1.YOY"
"198",1983,"Blueback Herring",0.0368086559130806,3.73574673352394e-06,1199,0.0330203522489711,0.0405969595771901,"1.YOY","1.YOY"
"199",1984,"Blueback Herring",0.028406974338373,2.95085126060073e-06,1641,0.0250400781114715,0.0317738705652745,"1.YOY","1.YOY"
"200",1985,"Blueback Herring",0.020377278562354,6.20774198602798e-06,1889,0.0154938717992915,0.0252606853254166,"1.YOY","1.YOY"
"201",1986,"Blueback Herring",0.0063440186683497,7.88206348430635e-07,2222,0.00460391134173702,0.00808412599496238,"1.YOY","1.YOY"
"202",1987,"Blueback Herring",0.0145627841476408,9.09454361280692e-06,2065,0.00865198058611386,0.0204735877091677,"1.YOY","1.YOY"
"203",1988,"Blueback Herring",0.024288164994814,5.61777288827475e-06,1733,0.0196426040676927,0.0289337259219353,"1.YOY","1.YOY"
"204",1989,"Blueback Herring",0.0124566330866751,1.4959500500935e-06,1725,0.0100593759639536,0.0148538902093967,"1.YOY","1.YOY"
"205",1990,"Blueback Herring",0.0199764125276457,4.75904778441954e-06,1725,0.0157006251184512,0.0242521999368402,"1.YOY","1.YOY"
"206",1991,"Blueback Herring",0.0198703856025301,4.49119895221018e-06,1716,0.0157166655957397,0.0240241056093204,"1.YOY","1.YOY"
"207",1992,"Blueback Herring",0.0185797928888218,5.60294439015293e-06,1722,0.0139403671518139,0.0232192186258297,"1.YOY","1.YOY"
"208",1993,"Blueback Herring",0.00702226283972961,4.27661871419789e-07,1707,0.00574050395240085,0.00830402172705837,"1.YOY","1.YOY"
"209",1994,"Blueback Herring",0.00643396243986405,3.82870577044094e-07,1706,0.00522118232427319,0.00764674255545492,"1.YOY","1.YOY"
"210",1995,"Blueback Herring",0.0052167541542195,4.25265614185381e-07,1720,0.00393859126027579,0.00649491704816321,"1.YOY","1.YOY"
"211",1996,"Blueback Herring",0.0193102545509261,8.12377499597813e-06,1720,0.0137238161484599,0.0248966929533924,"1.YOY","1.YOY"
"212",1997,"Blueback Herring",0.00741182235072947,1.08383226333493e-06,2040,0.00537131995601696,0.00945232474544198,"1.YOY","1.YOY"
"213",1998,"Blueback Herring",0.000263165262615154,4.35844806173673e-09,2151,0.000133768917713268,0.00039256160751704,"1.YOY","1.YOY"
"214",1999,"Blueback Herring",0.00461541782493476,3.41448735712701e-07,2099,0.00347011897174669,0.00576071667812283,"1.YOY","1.YOY"
"215",2000,"Blueback Herring",0.0022346554456759,1.07851831084845e-07,2143,0.00159097571607776,0.00287833517527405,"1.YOY","1.YOY"
"216",2001,"Blueback Herring",0.00469544858746259,1.93881156523605e-06,2098,0.00196632079474001,0.00742457638018517,"1.YOY","1.YOY"
"217",2002,"Blueback Herring",0.0015563608503829,5.17065534412073e-08,2142,0.00111067497928113,0.00200204672148467,"1.YOY","1.YOY"
"218",2003,"Blueback Herring",0.00384450837510188,2.56473212188314e-07,2144,0.0028519019616919,0.00483711478851186,"1.YOY","1.YOY"
"219",2004,"Blueback Herring",0.00165059560149024,6.31914749584034e-08,2139,0.00115789247566272,0.00214329872731775,"1.YOY","1.YOY"
"220",2005,"Blueback Herring",0.00634350477603352,1.15905113028378e-06,2142,0.00423338373161494,0.0084536258204521,"1.YOY","1.YOY"
"221",2006,"Blueback Herring",0.000686738979714914,3.74542091529399e-08,2143,0.000307418416230763,0.00106605954319907,"1.YOY","1.YOY"
"222",2007,"Blueback Herring",0.00424174279652904,2.72057110836645e-07,2140,0.00321942455009594,0.00526406104296215,"1.YOY","1.YOY"
"223",2008,"Blueback Herring",0.00368086442008477,2.37054969059635e-07,2142,0.00272657391445271,0.00463515492571683,"1.YOY","1.YOY"
"224",2009,"Blueback Herring",0.000781448543812802,2.71659562214613e-08,2140,0.000458399418414875,0.00110449766921073,"1.YOY","1.YOY"
"225",2010,"Blueback Herring",0.00460129981921724,5.00278669808237e-07,2135,0.00321498436524028,0.00598761527319419,"1.YOY","1.YOY"
"226",2011,"Blueback Herring",0.00754140988572779,7.69383718635224e-07,2094,0.00582220527501123,0.00926061449644435,"1.YOY","1.YOY"
"227",2012,"Blueback Herring",0.00588143363728325,6.64051148976763e-07,2143,0.00428424269882,0.00747862457574651,"1.YOY","1.YOY"
"228",2013,"Blueback Herring",0.000163842892241303,1.63266411517601e-09,2136,8.46466646489478e-05,0.000243039119833658,"1.YOY","1.YOY"
"229",2014,"Blueback Herring",0.0194976330351126,9.94424245791636e-06,2132,0.0133168724163593,0.0256783936538659,"1.YOY","1.YOY"
"230",2015,"Blueback Herring",0.00338176365087219,1.67019297545388e-07,2134,0.00258075095843195,0.00418277634331243,"1.YOY","1.YOY"
"231",2016,"Blueback Herring",0.00161105215289503,2.4400267649282e-07,2132,0.000642878262514377,0.00257922604327569,"1.YOY","1.YOY"
"232",2017,"Blueback Herring",0.00305735778810894,2.01362924674028e-07,2135,0.00217783757149778,0.0039368780047201,"1.YOY","1.YOY"
"233",2018,"Blueback Herring",0.00511120084123266,1.61929279834716e-07,2137,0.00432248826911717,0.00589991341334816,"1.YOY","1.YOY"
"234",2023,"Blueback Herring",0.00117448276117956,4.46940804774622e-08,1793,0.000760119660068692,0.00158884586229044,"1.YOY","1.YOY"
"235",2024,"Blueback Herring",0.00526215967626377,3.50259132712871e-07,2025,0.00410217886425446,0.00642214048827307,"1.YOY","1.YOY"
"1891",1974,"Blueback Herring",0,0,1675,0,0,"2.YEARLING","2.YEARLING"
"1901",1975,"Blueback Herring",0,0,880,0,0,"2.YEARLING","2.YEARLING"
"1911",1976,"Blueback Herring",0,0,866,0,0,"2.YEARLING","2.YEARLING"
"1921",1977,"Blueback Herring",0,0,818,0,0,"2.YEARLING","2.YEARLING"
"1931",1978,"Blueback Herring",0,0,872,0,0,"2.YEARLING","2.YEARLING"
"1941",1979,"Blueback Herring",0,0,2136,0,0,"2.YEARLING","2.YEARLING"
"1951",1980,"Blueback Herring",3.00593127236145e-05,1.46628654005532e-10,2023,6.32561016316992e-06,5.3793015284059e-05,"2.YEARLING","2.YEARLING"
"1961",1981,"Blueback Herring",0.00187296771547525,1.76366226031854e-06,1154,-0.000729970036227562,0.00447590546717806,"2.YEARLING","2.YEARLING"
"1971",1982,"Blueback Herring",4.80405930837835e-06,5.15558998721149e-12,1000,3.53698143835449e-07,9.25442047292125e-06,"2.YEARLING","2.YEARLING"
"1981",1983,"Blueback Herring",3.43028303341665e-05,3.82340434036263e-10,1199,-4.02208338254919e-06,7.26277440508823e-05,"2.YEARLING","2.YEARLING"
"1991",1984,"Blueback Herring",2.35323191429872e-05,1.9005207223324e-10,1641,-3.48811832000024e-06,5.05527566059746e-05,"2.YEARLING","2.YEARLING"
"2001",1985,"Blueback Herring",3.22864129164134e-05,2.29453281343955e-10,1889,2.59689076446663e-06,6.19759350683602e-05,"2.YEARLING","2.YEARLING"
"2011",1986,"Blueback Herring",8.36773452028911e-06,4.50741472085551e-11,2222,-4.79117287798623e-06,2.15266419185644e-05,"2.YEARLING","2.YEARLING"
"2021",1987,"Blueback Herring",5.70052630409123e-06,1.96835945287928e-11,2065,-2.99524834465688e-06,1.43963009528393e-05,"2.YEARLING","2.YEARLING"
"2031",1988,"Blueback Herring",3.32923008628537e-05,2.01897387010154e-10,1733,5.44254319894922e-06,6.11420585267582e-05,"2.YEARLING","2.YEARLING"
"2041",1989,"Blueback Herring",1.5714820880439e-05,1.18439468416095e-10,1725,-5.6158392562579e-06,3.7045481017136e-05,"2.YEARLING","2.YEARLING"
"2051",1990,"Blueback Herring",1.52565776085685e-05,8.67157386311231e-11,1725,-2.99519440198765e-06,3.35083496191247e-05,"2.YEARLING","2.YEARLING"
"2061",1991,"Blueback Herring",4.84729131611161e-07,7.76455210524378e-14,1716,-6.142380820977e-08,1.03088207143209e-06,"2.YEARLING","2.YEARLING"
"2071",1992,"Blueback Herring",1.65167511626762e-05,6.37416018587656e-11,1722,8.68436949936414e-07,3.2165065375416e-05,"2.YEARLING","2.YEARLING"
"2081",1993,"Blueback Herring",1.13558668043477e-05,6.32587796919242e-11,1707,-4.23306927431067e-06,2.6944802883006e-05,"2.YEARLING","2.YEARLING"
"2091",1994,"Blueback Herring",1.24396287311499e-06,4.2405606616084e-13,1706,-3.2381039693579e-08,2.52030678592356e-06,"2.YEARLING","2.YEARLING"
"2101",1995,"Blueback Herring",1.49713406515039e-05,4.42261286696193e-11,1720,1.93680591116088e-06,2.80058753918469e-05,"2.YEARLING","2.YEARLING"
"2111",1996,"Blueback Herring",5.80401521182602e-06,1.75443806973159e-11,1720,-2.40564330036612e-06,1.40136737240182e-05,"2.YEARLING","2.YEARLING"
"2121",1997,"Blueback Herring",5.88185758008847e-06,2.55408199745761e-12,2040,2.74948445393744e-06,9.01423070623949e-06,"2.YEARLING","2.YEARLING"
"2131",1998,"Blueback Herring",6.6088569852182e-08,4.36769906510675e-15,2151,-6.34450270580948e-08,1.95622166762459e-07,"2.YEARLING","2.YEARLING"
"2141",1999,"Blueback Herring",1.62880731631996e-07,1.37782724846317e-14,2099,-6.7185805650072e-08,3.92947268914063e-07,"2.YEARLING","2.YEARLING"
"2151",2000,"Blueback Herring",6.85416738927349e-07,1.18066892417555e-13,2143,1.19438189734132e-08,1.35888965888129e-06,"2.YEARLING","2.YEARLING"
"2161",2001,"Blueback Herring",7.14199886152289e-07,1.31664024251392e-13,2098,3.00334822191616e-09,1.42539642408266e-06,"2.YEARLING","2.YEARLING"
"2171",2002,"Blueback Herring",7.65201636703661e-06,1.40695092851038e-11,2142,3.00184835393991e-07,1.50038478986792e-05,"2.YEARLING","2.YEARLING"
"2181",2003,"Blueback Herring",2.17298150594022e-06,3.97738613020648e-12,2144,-1.73592199220362e-06,6.08188500408407e-06,"2.YEARLING","2.YEARLING"
"2191",2004,"Blueback Herring",3.97400841939729e-06,1.06824107035304e-11,2139,-2.43204722808833e-06,1.03800640668829e-05,"2.YEARLING","2.YEARLING"
"2201",2005,"Blueback Herring",3.25704170846961e-06,1.06083206907106e-11,2142,-3.12676004013082e-06,9.64084345707003e-06,"2.YEARLING","2.YEARLING"
"2211",2006,"Blueback Herring",0,0,2143,0,0,"2.YEARLING","2.YEARLING"
"2221",2007,"Blueback Herring",0,0,2140,0,0,"2.YEARLING","2.YEARLING"
"2231",2008,"Blueback Herring",1.30664614859104e-06,2.14821704871044e-13,2142,3.98208444930185e-07,2.21508385225189e-06,"2.YEARLING","2.YEARLING"
