"","YEAR","SPECIES","AI.D","VAR","SAMPLE_N","LCI","UCI","life.stage","life.stage.1"
"236",1974,"Channel Catfish",0,0,1675,0,0,"1.YOY","1.YOY"
"237",1975,"Channel Catfish",0,0,880,0,0,"1.YOY","1.YOY"
"238",1976,"Channel Catfish",0,0,866,0,0,"1.YOY","1.YOY"
"239",1977,"Channel Catfish",0,0,818,0,0,"1.YOY","1.YOY"
"240",1978,"Channel Catfish",0,0,872,0,0,"1.YOY","1.YOY"
"241",1979,"Channel Catfish",0,0,2136,0,0,"1.YOY","1.YOY"
"242",1980,"Channel Catfish",0,0,2023,0,0,"1.YOY","1.YOY"
"243",1981,"Channel Catfish",0,0,1154,0,0,"1.YOY","1.YOY"
"244",1982,"Channel Catfish",0,0,1000,0,0,"1.YOY","1.YOY"
"245",1983,"Channel Catfish",0,0,1199,0,0,"1.YOY","1.YOY"
"246",1984,"Channel Catfish",0,0,1641,0,0,"1.YOY","1.YOY"
"247",1985,"Channel Catfish",0,0,1889,0,0,"1.YOY","1.YOY"
"248",1986,"Channel Catfish",3.02694888156281e-07,3.07732836456224e-14,2222,-4.11344975178101e-08,6.46524273830373e-07,"1.YOY","1.YOY"
"249",1987,"Channel Catfish",8.9028944359149e-07,6.11548631460564e-13,2065,-6.42461424168467e-07,2.42304031135145e-06,"1.YOY","1.YOY"
"250",1988,"Channel Catfish",5.55924431425803e-07,8.49744897918877e-14,1733,-1.5423098528178e-08,1.12727196137978e-06,"1.YOY","1.YOY"
"251",1989,"Channel Catfish",1.35321551783249e-06,4.05929800952834e-13,1725,1.0444815625532e-07,2.60198287940966e-06,"1.YOY","1.YOY"
"252",1990,"Channel Catfish",0,0,1725,0,0,"1.YOY","1.YOY"
"253",1991,"Channel Catfish",2.11434616465733e-07,1.44430236590807e-14,1716,-2.41164813638554e-08,4.46985714295322e-07,"1.YOY","1.YOY"
"254",1992,"Channel Catfish",5.02805439582653e-07,6.81423815691401e-14,1722,-8.8348374050056e-09,1.01444571657031e-06,"1.YOY","1.YOY"
"255",1993,"Channel Catfish",1.28428970251033e-07,1.64940003997407e-14,1707,-1.23291811440992e-07,3.80149751943057e-07,"1.YOY","1.YOY"
"256",1994,"Channel Catfish",3.54941204528414e-06,7.16177973620699e-13,1706,1.89071698486426e-06,5.20810710570401e-06,"1.YOY","1.YOY"
"257",1995,"Channel Catfish",3.98285406521572e-06,1.52259134395078e-12,1720,1.56434483287417e-06,6.40136329755727e-06,"1.YOY","1.YOY"
"258",1996,"Channel Catfish",1.94086885918754e-06,8.60030984066222e-13,1720,1.23206891606987e-07,3.75853082676809e-06,"1.YOY","1.YOY"
"259",1997,"Channel Catfish",8.7049225776182e-06,2.1619896279503e-12,2040,5.82299625053524e-06,1.15868489047012e-05,"1.YOY","1.YOY"
"260",1998,"Channel Catfish",1.44618755129577e-05,5.96563933902725e-12,2151,9.67464248282357e-06,1.92491085430918e-05,"1.YOY","1.YOY"
"261",1999,"Channel Catfish",3.21385880694764e-05,2.54193184482231e-11,2099,2.22567434162401e-05,4.20204327227126e-05,"1.YOY","1.YOY"
"262",2000,"Channel Catfish",3.78899036300401e-05,2.22931592007993e-11,2143,2.86356397270713e-05,4.71441675330088e-05,"1.YOY","1.YOY"
"263",2001,"Channel Catfish",6.70414521648897e-05,6.82033310431649e-11,2098,5.08547317887474e-05,8.32281725410321e-05,"1.YOY","1.YOY"
"264",2002,"Channel Catfish",9.21690458060051e-05,2.54858896758033e-10,2142,6.08790164390381e-05,0.000123459075172972,"1.YOY","1.YOY"
"265",2003,"Channel Catfish",0.000241402247639677,3.72039173195946e-10,2144,0.000203597146294097,0.000279207348985257,"1.YOY","1.YOY"
"266",2004,"Channel Catfish",0.000149686062190041,2.11942287870444e-10,2139,0.000121151916100082,0.000178220208279999,"1.YOY","1.YOY"
"267",2005,"Channel Catfish",0.000388047266346794,1.23065622638422e-09,2142,0.000319289074403742,0.000456805458289846,"1.YOY","1.YOY"
"268",2006,"Channel Catfish",0.000373433440159885,9.72941482967969e-10,2143,0.00031229710071296,0.000434569779606811,"1.YOY","1.YOY"
"269",2007,"Channel Catfish",0.000169219198171531,1.3648971567604e-09,2140,9.68079496157244e-05,0.000241630446727337,"1.YOY","1.YOY"
"270",2008,"Channel Catfish",0.000342128452580294,1.20926301529657e-09,2142,0.000273970512473779,0.000410286392686809,"1.YOY","1.YOY"
