"","YEAR","SPECIES","AI.D","VAR","SAMPLE_N","LCI","UCI","life.stage","life.stage.1"
"283",1974,"Hogchoker",0,0,1675,0,0,"1.YOY","1.YOY"
"284",1975,"Hogchoker",0,0,880,0,0,"1.YOY","1.YOY"
"285",1976,"Hogchoker",0,0,866,0,0,"1.YOY","1.YOY"
"286",1977,"Hogchoker",0,0,818,0,0,"1.YOY","1.YOY"
"287",1978,"Hogchoker",0,0,872,0,0,"1.YOY","1.YOY"
"288",1979,"Hogchoker",0,0,2136,0,0,"1.YOY","1.YOY"
"289",1980,"Hogchoker",0.000313828728924771,1.67038262701192e-08,2023,6.05118937177716e-05,0.00056714556413177,"1.YOY","1.YOY"
"290",1981,"Hogchoker",0.000468386916160299,1.1581836639064e-08,1154,0.000257453790187567,0.00067932004213303,"1.YOY","1.YOY"
"291",1982,"Hogchoker",0.000100852462811014,1.75608048486863e-09,1000,1.87174593674676e-05,0.00018298746625456,"1.YOY","1.YOY"
"292",1983,"Hogchoker",0.000483669077583744,3.72206333309186e-08,1199,0.000105533143025738,0.00086180501214175,"1.YOY","1.YOY"
"293",1984,"Hogchoker",0.000236093557566699,1.83203706720964e-09,1641,0.000152201045401474,0.000319986069731925,"1.YOY","1.YOY"
"294",1985,"Hogchoker",0.000406859988672332,4.7806752803541e-09,1889,0.000271340830775715,0.00054237914656895,"1.YOY","1.YOY"
"295",1986,"Hogchoker",0.000446471161044767,6.16121880140245e-09,2222,0.000292624035145491,0.000600318286944043,"1.YOY","1.YOY"
"296",1987,"Hogchoker",0.000651631457123276,1.88057714372489e-08,2065,0.000382848549271353,0.000920414364975199,"1.YOY","1.YOY"
"297",1988,"Hogchoker",0.00150036974459486,2.26793421602659e-08,1733,0.00120520036806186,0.00179553912112786,"1.YOY","1.YOY"
"298",1989,"Hogchoker",0.000438997174787826,1.09819737905599e-08,1725,0.000233599145308927,0.000644395204266725,"1.YOY","1.YOY"
"299",1990,"Hogchoker",0.000237035106892343,3.67315058298639e-09,1725,0.000118246322574965,0.000355823891209721,"1.YOY","1.YOY"
"300",1991,"Hogchoker",0.000883115253817701,1.89266304278057e-08,1716,0.000613470036075093,0.00115276047156031,"1.YOY","1.YOY"
"301",1992,"Hogchoker",0.00013935875893502,2.18980867567399e-09,1722,4.76397913848499e-05,0.000231077726485191,"1.YOY","1.YOY"
"302",1993,"Hogchoker",0.000202059041888964,2.1755895215073e-09,1707,0.000110638340153403,0.000293479743624525,"1.YOY","1.YOY"
"303",1994,"Hogchoker",0.00107355164281316,7.93938934074707e-09,1706,0.000898909270831408,0.00124819401479492,"1.YOY","1.YOY"
"304",1995,"Hogchoker",0.000227367085834001,2.07475551408688e-09,1720,0.000138090096733135,0.000316644074934867,"1.YOY","1.YOY"
"305",1996,"Hogchoker",2.62720167026852e-05,7.71895881292456e-11,1720,9.05192605956398e-06,4.34921073458063e-05,"1.YOY","1.YOY"
"306",1997,"Hogchoker",2.76253819405262e-05,5.54732769761713e-11,2040,1.30272265491194e-05,4.2223537331933e-05,"1.YOY","1.YOY"
"307",1998,"Hogchoker",9.26620263516541e-05,8.61326370278376e-11,2151,7.44717229345546e-05,0.000110852329768754,"1.YOY","1.YOY"
"308",1999,"Hogchoker",1.84911276304056e-05,3.02428465299762e-11,2099,7.71240232406452e-06,2.92698529367466e-05,"1.YOY","1.YOY"
"309",2000,"Hogchoker",0.000118939111346814,1.71192664313826e-10,2143,9.3294350883359e-05,0.000144583871810269,"1.YOY","1.YOY"
"310",2001,"Hogchoker",0.000183425044693609,1.84249397749463e-09,2098,9.92934521498844e-05,0.000267556637237334,"1.YOY","1.YOY"
"311",2002,"Hogchoker",0.000175839592111411,7.80385411878437e-10,2142,0.000121086248850271,0.000230592935372551,"1.YOY","1.YOY"
"312",2003,"Hogchoker",6.08296738503462e-05,5.8024718740953e-10,2144,1.36165655524122e-05,0.00010804278214828,"1.YOY","1.YOY"
"313",2004,"Hogchoker",6.404073135303e-05,1.47570331084466e-10,2139,4.02309395880001e-05,8.78505231180599e-05,"1.YOY","1.YOY"
