"","YEAR","SPECIES","AI.D","VAR","SAMPLE_N","LCI","UCI","life.stage","life.stage.1"
"330",1974,"Spottail Shiner",0,0,1675,0,0,"1.YOY","1.YOY"
"331",1975,"Spottail Shiner",0,0,880,0,0,"1.YOY","1.YOY"
"332",1976,"Spottail Shiner",0,0,866,0,0,"1.YOY","1.YOY"
"333",1977,"Spottail Shiner",0,0,818,0,0,"1.YOY","1.YOY"
"334",1978,"Spottail Shiner",0,0,872,0,0,"1.YOY","1.YOY"
"335",1979,"Spottail Shiner",0,0,2136,0,0,"1.YOY","1.YOY"
"336",1980,"Spottail Shiner",3.13898721801714e-05,2.29676816298784e-10,2023,1.6858916810294e-06,6.10938526793134e-05,"1.YOY","1.YOY"
"337",1981,"Spottail Shiner",4.38068409663168e-05,3.85405417504279e-10,1154,5.32862047881973e-06,8.22850614538138e-05,"1.YOY","1.YOY"
"338",1982,"Spottail Shiner",7.99874270916896e-07,6.39798849274836e-13,1000,-7.6787930008022e-07,2.36762784191401e-06,"1.YOY","1.YOY"
"339",1983,"Spottail Shiner",8.93141302841271e-06,1.20911248535336e-11,1199,2.11604324847159e-06,1.57467828083538e-05,"1.YOY","1.YOY"
"340",1984,"Spottail Shiner",1.65953924569663e-05,1.99836114058867e-11,1641,7.83359803020337e-06,2.53571868837293e-05,"1.YOY","1.YOY"
"341",1985,"Spottail Shiner",1.94522441426176e-05,7.67813663196633e-11,1889,2.27774860843615e-06,3.66267396767991e-05,"1.YOY","1.YOY"
"342",1986,"Spottail Shiner",2.1864490036084e-05,9.72775255638182e-11,2222,2.53313358585102e-06,4.1195846486317e-05,"1.YOY","1.YOY"
"343",1987,"Spottail Shiner",7.03860938239185e-06,3.90644490094753e-12,2065,3.16472260920397e-06,1.09124961555797e-05,"1.YOY","1.YOY"
"344",1988,"Spottail Shiner",2.00134512960756e-05,3.95657469995455e-11,1733,7.68479469150375e-06,3.23421079006475e-05,"1.YOY","1.YOY"
"345",1989,"Spottail Shiner",1.30299745923802e-06,2.09769672068317e-13,1725,4.05305322579994e-07,2.20068959589604e-06,"1.YOY","1.YOY"
"346",1990,"Spottail Shiner",3.12100832566624e-06,7.58513349164544e-13,1725,1.41399195721791e-06,4.82802469411457e-06,"1.YOY","1.YOY"
"347",1991,"Spottail Shiner",1.76251660436048e-05,3.34939165550777e-11,1716,6.28187596365059e-06,2.89684561235589e-05,"1.YOY","1.YOY"
"348",1992,"Spottail Shiner",1.35184224477536e-05,3.52860867115059e-11,1722,1.8756121894474e-06,2.51612327060599e-05,"1.YOY","1.YOY"
"349",1993,"Spottail Shiner",1.04403630818893e-05,7.11047966667909e-12,1707,5.21392847620304e-06,1.56667976875755e-05,"1.YOY","1.YOY"
"350",1994,"Spottail Shiner",7.33711905509329e-06,1.83957453667978e-12,1706,4.67875310208587e-06,9.99548500810071e-06,"1.YOY","1.YOY"
"351",1995,"Spottail Shiner",3.05201265798803e-06,1.26537496365252e-12,1720,8.47230478187155e-07,5.25679483778891e-06,"1.YOY","1.YOY"
"352",1996,"Spottail Shiner",2.56806549915272e-05,4.94284354271093e-11,1720,1.1900804573733e-05,3.94605054093214e-05,"1.YOY","1.YOY"
"353",1997,"Spottail Shiner",4.93477574849988e-06,5.15134984127064e-12,2040,4.86245030360992e-07,9.38330646663877e-06,"1.YOY","1.YOY"
"354",1998,"Spottail Shiner",3.2814527095138e-06,6.44928990179619e-12,2151,-1.6960559129539e-06,8.25896133198149e-06,"1.YOY","1.YOY"
"355",1999,"Spottail Shiner",2.26843339073933e-05,2.49493547745849e-11,2099,1.28942654039534e-05,3.24744024108332e-05,"1.YOY","1.YOY"
"356",2000,"Spottail Shiner",2.17257919148585e-06,3.53385265980485e-12,2143,-1.51193548183359e-06,5.8570938648053e-06,"1.YOY","1.YOY"
"357",2001,"Spottail Shiner",1.680081794936e-05,2.46516817070868e-11,2098,7.06932780416925e-06,2.65323080945507e-05,"1.YOY","1.YOY"
"358",2002,"Spottail Shiner",3.13981634948652e-06,8.17731526017965e-13,2142,1.36741757089559e-06,4.91221512807745e-06,"1.YOY","1.YOY"
"359",2003,"Spottail Shiner",4.16878625204704e-06,8.51677247043797e-13,2144,2.35997357179421e-06,5.97759893229988e-06,"1.YOY","1.YOY"
"360",2004,"Spottail Shiner",1.4774177008525e-05,1.12131721794409e-11,2139,8.21090631133902e-06,2.1337447705711e-05,"1.YOY","1.YOY"
"361",2005,"Spottail Shiner",2.23188874385017e-05,5.57764459560065e-11,2142,7.68089595112221e-06,3.69568789258812e-05,"1.YOY","1.YOY"
"362",2006,"Spottail Shiner",2.82860864698396e-06,7.97306219256214e-13,2143,1.07848534507216e-06,4.57873194889576e-06,"1.YOY","1.YOY"
"363",2007,"Spottail Shiner",2.96807387157997e-06,5.05818770790953e-12,2140,-1.44004748549554e-06,7.37619522865548e-06,"1.YOY","1.YOY"
"364",2008,"Spottail Shiner",8.14203290618898e-06,2.53660273931092e-12,2142,5.02039662318982e-06,1.12636691891881e-05,"1.YOY","1.YOY"
"365",2009,"Spottail Shiner",1.35467808427424e-05,4.62995747662338e-11,2140,2.10197831267388e-07,2.68833638542174e-05,"1.YOY","1.YOY"
"366",2010,"Spottail Shiner",1.67505474685089e-05,1.24484558635689e-11,2135,9.83520307755577e-06,2.3665891859462e-05,"1.YOY","1.YOY"
"367",2011,"Spottail Shiner",5.07119244716389e-06,1.22568886030425e-12,2094,2.90126011509802e-06,7.24112477922975e-06,"1.YOY","1.YOY"
"368",2012,"Spottail Shiner",2.19747114371733e-05,6.80870551772053e-11,2143,5.80179484279397e-06,3.81476280315527e-05,"1.YOY","1.YOY"
"369",2013,"Spottail Shiner",1.15324989972078e-05,3.08505937097561e-11,2136,6.4601008684747e-07,2.24189879075682e-05,"1.YOY","1.YOY"
"370",2014,"Spottail Shiner",4.97372107980714e-05,1.49140828232266e-10,2132,2.58010581051871e-05,7.36733634909557e-05,"1.YOY","1.YOY"
"371",2015,"Spottail Shiner",4.1430529281398e-06,6.52797808131266e-12,2134,-8.64729075619022e-07,9.15083493189862e-06,"1.YOY","1.YOY"
"372",2016,"Spottail Shiner",4.96391962658029e-06,1.14162756127495e-12,2132,2.86971895821208e-06,7.05812029494849e-06,"1.YOY","1.YOY"
"373",2017,"Spottail Shiner",4.19467595137668e-06,5.63227327631912e-12,2135,-4.56876587110605e-07,8.84622848986397e-06,"1.YOY","1.YOY"
"374",2018,"Spottail Shiner",3.89403154909273e-06,9.4435689745054e-13,2137,1.98934221556718e-06,5.79872088261827e-06,"1.YOY","1.YOY"
"375",2023,"Spottail Shiner",4.15882377686222e-06,8.13271438809963e-12,1793,-1.43068743551794e-06,9.74833498924238e-06,"1.YOY","1.YOY"
"376",2024,"Spottail Shiner",2.7354477357887e-06,1.80906160859608e-12,2025,9.92210620023372e-08,5.37167440957506e-06,"1.YOY","1.YOY"
"3301",1974,"Spottail Shiner",0,0,1675,0,0,"2.YEARLING","2.YEARLING"
"3311",1975,"Spottail Shiner",0,0,880,0,0,"2.YEARLING","2.YEARLING"
"3321",1976,"Spottail Shiner",0,0,866,0,0,"2.YEARLING","2.YEARLING"
"3331",1977,"Spottail Shiner",0,0,818,0,0,"2.YEARLING","2.YEARLING"
"3341",1978,"Spottail Shiner",0,0,872,0,0,"2.YEARLING","2.YEARLING"
"3351",1979,"Spottail Shiner",0,0,2136,0,0,"2.YEARLING","2.YEARLING"
"3361",1980,"Spottail Shiner",1.11630798383285e-05,8.39238259082401e-12,2023,5.4850364287631e-06,1.6841123247894e-05,"2.YEARLING","2.YEARLING"
"3371",1981,"Spottail Shiner",2.79452425048153e-05,4.11742794787019e-11,1154,1.53684737606036e-05,4.05220112490271e-05,"2.YEARLING","2.YEARLING"
"3381",1982,"Spottail Shiner",3.59602080863686e-05,1.31624178874378e-10,1000,1.3473602171651e-05,5.84468140010861e-05,"2.YEARLING","2.YEARLING"
"3391",1983,"Spottail Shiner",1.99932225905273e-05,4.39937881329949e-11,1199,6.99297118943068e-06,3.29934739916238e-05,"2.YEARLING","2.YEARLING"
"3401",1984,"Spottail Shiner",3.50018863947695e-05,3.88226745292948e-11,1641,2.27895489251555e-05,4.72142238643835e-05,"2.YEARLING","2.YEARLING"
"3411",1985,"Spottail Shiner",2.19152099177698e-05,6.06969791185616e-11,1889,6.64518978085232e-06,3.71852300546873e-05,"2.YEARLING","2.YEARLING"
"3421",1986,"Spottail Shiner",5.69197518349923e-05,1.42938164076799e-10,2222,3.34866288865368e-05,8.03528747834477e-05,"2.YEARLING","2.YEARLING"
"3431",1987,"Spottail Shiner",2.2800185719425e-05,6.3250627208796e-12,2065,1.78708489538417e-05,2.77295224850083e-05,"2.YEARLING","2.YEARLING"
"3441",1988,"Spottail Shiner",2.90827322320674e-05,4.59567676589083e-11,1733,1.57956137092852e-05,4.23698507548497e-05,"2.YEARLING","2.YEARLING"
"3451",1989,"Spottail Shiner",1.39544050622827e-05,1.15953952937226e-11,1725,7.28021068690186e-06,2.06285994376634e-05,"2.YEARLING","2.YEARLING"
"3461",1990,"Spottail Shiner",2.22359594557473e-06,3.88613843299519e-13,1725,1.00175350875261e-06,3.44543838239686e-06,"2.YEARLING","2.YEARLING"
"3471",1991,"Spottail Shiner",1.78358467810529e-05,3.07841395617069e-11,1716,6.96108928765323e-06,2.87106042744526e-05,"2.YEARLING","2.YEARLING"
"3481",1992,"Spottail Shiner",2.25017519329533e-05,7.98283447026001e-12,1722,1.69639855148972e-05,2.80395183510095e-05,"2.YEARLING","2.YEARLING"
"3491",1993,"Spottail Shiner",2.07931191507411e-05,8.3375341621112e-12,1707,1.51336605867823e-05,2.64525777146999e-05,"2.YEARLING","2.YEARLING"
"3501",1994,"Spottail Shiner",1.25543429146056e-05,2.3223056899015e-12,1706,9.56747674111776e-06,1.55412090880934e-05,"2.YEARLING","2.YEARLING"
"3511",1995,"Spottail Shiner",1.93241474192354e-05,8.97452250908558e-12,1720,1.34524759646236e-05,2.51958188738472e-05,"2.YEARLING","2.YEARLING"
"3521",1996,"Spottail Shiner",3.65719702135735e-05,2.07085240019981e-11,1720,2.76526728305912e-05,4.54912675965559e-05,"2.YEARLING","2.YEARLING"
"3531",1997,"Spottail Shiner",1.03537381033486e-05,2.89746599923953e-12,2040,7.01743695047303e-06,1.36900392562241e-05,"2.YEARLING","2.YEARLING"
"3541",1998,"Spottail Shiner",1.43072972524262e-05,5.1973474704385e-12,2151,9.83894967838533e-06,1.8775644826467e-05,"2.YEARLING","2.YEARLING"
"3551",1999,"Spottail Shiner",1.05529208440797e-05,4.62148083368353e-12,2099,6.33938541991642e-06,1.47664562682429e-05,"2.YEARLING","2.YEARLING"
"3561",2000,"Spottail Shiner",1.41516900337711e-05,9.1914177898083e-12,2143,8.20948921409768e-06,2.00938908534445e-05,"2.YEARLING","2.YEARLING"
"3571",2001,"Spottail Shiner",9.14461823023487e-06,7.5043572471292e-12,2098,3.77537817222187e-06,1.45138582882479e-05,"2.YEARLING","2.YEARLING"
"3581",2002,"Spottail Shiner",5.08206468463236e-06,3.67356123776428e-12,2142,1.32542351851132e-06,8.8387058507534e-06,"2.YEARLING","2.YEARLING"
"3591",2003,"Spottail Shiner",9.31707568209608e-06,2.59344268772564e-12,2144,6.16065849972509e-06,1.24734928644671e-05,"2.YEARLING","2.YEARLING"
"3601",2004,"Spottail Shiner",4.47963348075155e-05,7.41066124096115e-11,2139,2.79236360834594e-05,6.16690335315715e-05,"2.YEARLING","2.YEARLING"
"3611",2005,"Spottail Shiner",1.12802086054942e-05,4.88357093009458e-12,2142,6.94884322203237e-06,1.5611573988956e-05,"2.YEARLING","2.YEARLING"
"3621",2006,"Spottail Shiner",2.21900092985782e-05,2.27775151208209e-11,2143,1.28357534709805e-05,3.15442651261759e-05,"2.YEARLING","2.YEARLING"
"3631",2007,"Spottail Shiner",1.5715009594474e-06,3.27101602640342e-13,2140,4.50522138638047e-07,2.69247978025676e-06,"2.YEARLING","2.YEARLING"
"3641",2008,"Spottail Shiner",1.83676633162098e-05,1.1908753252152e-11,2142,1.16038872633332e-05,2.51314393690864e-05,"2.YEARLING","2.YEARLING"
"3651",2009,"Spottail Shiner",5.31886583179279e-05,5.78427400791939e-11,2140,3.8281993020544e-05,6.80953236153119e-05,"2.YEARLING","2.YEARLING"
"3661",2010,"Spottail Shiner",3.30637420235662e-05,3.92757098320459e-11,2135,2.0780356216274e-05,4.53471278308584e-05,"2.YEARLING","2.YEARLING"
"3671",2011,"Spottail Shiner",3.33876717048128e-05,3.67901937648975e-11,2094,2.14993072938759e-05,4.52760361157496e-05,"2.YEARLING","2.YEARLING"
"3681",2012,"Spottail Shiner",1.85357639788905e-05,3.02551074161507e-11,2143,7.75485396860453e-06,2.93166739891765e-05,"2.YEARLING","2.YEARLING"
"3691",2013,"Spottail Shiner",2.18763839861791e-05,3.74885249137248e-11,2136,9.87572078331542e-06,3.38770471890427e-05,"2.YEARLING","2.YEARLING"
"3701",2014,"Spottail Shiner",8.51079550423294e-06,2.41361507607385e-12,2132,5.46577601722711e-06,1.15558149912388e-05,"2.YEARLING","2.YEARLING"
"3711",2015,"Spottail Shiner",1.24243065215947e-05,7.78666118751567e-12,2134,6.95500696699354e-06,1.78936060761958e-05,"2.YEARLING","2.YEARLING"
"3721",2016,"Spottail Shiner",5.39049057090145e-06,1.51306457700596e-12,2132,2.97955944807233e-06,7.80142169373058e-06,"2.YEARLING","2.YEARLING"
"3731",2017,"Spottail Shiner",5.65423799059937e-06,1.27375677128963e-12,2135,3.44216565620652e-06,7.86631032499223e-06,"2.YEARLING","2.YEARLING"
"3741",2018,"Spottail Shiner",1.89966171520181e-05,4.54145930872888e-11,2137,5.78810850023884e-06,3.22051258037975e-05,"2.YEARLING","2.YEARLING"
"3751",2023,"Spottail Shiner",4.55173434341651e-06,4.57711672613357e-12,1793,3.58471697800956e-07,8.74499698903206e-06,"2.YEARLING","2.YEARLING"
"3761",2024,"Spottail Shiner",7.91427359518057e-07,1.15796111149949e-13,2025,1.24462337501426e-07,1.45839238153469e-06,"2.YEARLING","2.YEARLING"
"3302",1974,"Spottail Shiner",0,0,1675,0,0,"3.OLDER","3.OLDER"
"3312",1975,"Spottail Shiner",0,0,880,0,0,"3.OLDER","3.OLDER"
"3322",1976,"Spottail Shiner",0,0,866,0,0,"3.OLDER","3.OLDER"
"3332",1977,"Spottail Shiner",0,0,818,0,0,"3.OLDER","3.OLDER"
"3342",1978,"Spottail Shiner",0,0,872,0,0,"3.OLDER","3.OLDER"
"3352",1979,"Spottail Shiner",0,0,2136,0,0,"3.OLDER","3.OLDER"
"3362",1980,"Spottail Shiner",0,0,2023,0,0,"3.OLDER","3.OLDER"
"3372",1981,"Spottail Shiner",3.04170303371721e-07,9.25195734532448e-14,1154,-2.92003491236852e-07,9.00344097980294e-07,"3.OLDER","3.OLDER"
"3382",1982,"Spottail Shiner",0,0,1000,0,0,"3.OLDER","3.OLDER"
"3392",1983,"Spottail Shiner",0,0,1199,0,0,"3.OLDER","3.OLDER"
"3402",1984,"Spottail Shiner",5.75799870650892e-06,3.31545491041584e-11,1641,-5.52767875824856e-06,1.70436761712664e-05,"3.OLDER","3.OLDER"
"3412",1985,"Spottail Shiner",7.59049462548411e-07,1.42436450657856e-13,1889,1.93306856830286e-08,1.49876823941379e-06,"3.OLDER","3.OLDER"
