"","YEAR","SPECIES","AI.D","VAR","SAMPLE_N","LCI","UCI","life.stage","life.stage.1"
"377",1974,"Striped Bass",0,0,1675,0,0,"1.YOY","1.YOY"
"378",1975,"Striped Bass",0,0,880,0,0,"1.YOY","1.YOY"
"379",1976,"Striped Bass",0,0,866,0,0,"1.YOY","1.YOY"
"380",1977,"Striped Bass",0,0,818,0,0,"1.YOY","1.YOY"
"381",1978,"Striped Bass",0,0,872,0,0,"1.YOY","1.YOY"
"382",1979,"Striped Bass",0,0,2136,0,0,"1.YOY","1.YOY"
"383",1980,"Striped Bass",0.00104772978275702,8.41155236408586e-09,2023,0.00086796933226284,0.00122749023325121,"1.YOY","1.YOY"
"384",1981,"Striped Bass",0.000615333614110028,1.10650674836032e-08,1154,0.000409159990081613,0.000821507238138443,"1.YOY","1.YOY"
"385",1982,"Striped Bass",0.000399452102981297,4.92729965393661e-09,1000,0.000261870438684914,0.000537033767277681,"1.YOY","1.YOY"
"386",1983,"Striped Bass",0.0005699820524113,1.22244959737487e-08,1199,0.000353275744859459,0.00078668835996314,"1.YOY","1.YOY"
"387",1984,"Striped Bass",0.00112091541731415,1.1895032962503e-08,1641,0.000907149286627475,0.00133468154800082,"1.YOY","1.YOY"
"388",1985,"Striped Bass",9.36322958948581e-05,1.59426382411024e-10,1889,6.88845204257338e-05,0.000118380071363982,"1.YOY","1.YOY"
"389",1986,"Striped Bass",0.000320603336813373,5.82065423208589e-10,2222,0.000273316313965682,0.000367890359661065,"1.YOY","1.YOY"
"390",1987,"Striped Bass",0.00211565242611865,1.3767784247903e-08,2065,0.00188567347063197,0.00234563138160533,"1.YOY","1.YOY"
"391",1988,"Striped Bass",0.00347561191476266,3.13907927643236e-08,1733,0.00312834995386941,0.00382287387565591,"1.YOY","1.YOY"
"392",1989,"Striped Bass",0.0020935754661474,3.50120999679617e-08,1725,0.00172682966421243,0.00246032126808237,"1.YOY","1.YOY"
"393",1990,"Striped Bass",0.00131792980361314,1.94918788427284e-08,1725,0.0010442876983694,0.00159157190885688,"1.YOY","1.YOY"
"394",1991,"Striped Bass",0.000935344794916453,6.49690371422952e-09,1716,0.000777362184137342,0.00109332740569556,"1.YOY","1.YOY"
"395",1992,"Striped Bass",0.00086667371563151,6.98266780239752e-09,1722,0.000702891492451794,0.00103045593881123,"1.YOY","1.YOY"
"396",1993,"Striped Bass",0.00155257068464929,1.46325727451753e-08,1707,0.00131547894827312,0.00178966242102545,"1.YOY","1.YOY"
"397",1994,"Striped Bass",0.00180814902321182,2.6132466171052e-08,1706,0.00149130445241612,0.00212499359400752,"1.YOY","1.YOY"
"398",1995,"Striped Bass",0.0019380651840951,1.84053342148684e-08,1720,0.00167215931368259,0.00220397105450762,"1.YOY","1.YOY"
"399",1996,"Striped Bass",0.00148919446462664,1.30492691530053e-08,1720,0.0012652970051096,0.00171309192414368,"1.YOY","1.YOY"
"400",1997,"Striped Bass",0.0016054502539117,2.80557066304805e-08,2040,0.00127715343304428,0.00193374707477912,"1.YOY","1.YOY"
"401",1998,"Striped Bass",0.000362903083136464,1.82027742047277e-09,2151,0.000279280252889645,0.000446525913383282,"1.YOY","1.YOY"
"402",1999,"Striped Bass",0.00209718696149821,6.34950052603587e-08,2099,0.00160330194227997,0.00259107198071644,"1.YOY","1.YOY"
"403",2000,"Striped Bass",0.000931561882510058,1.25890512561225e-08,2143,0.00071164803732172,0.0011514757276984,"1.YOY","1.YOY"
"404",2001,"Striped Bass",0.00083974347882527,7.86682255154423e-09,2098,0.000665901063074648,0.00101358589457589,"1.YOY","1.YOY"
"405",2002,"Striped Bass",0.000883588021550346,1.86088977921824e-08,2142,0.000616215730991941,0.00115096031210875,"1.YOY","1.YOY"
"406",2003,"Striped Bass",0.0055119952039984,7.86962176641559e-07,2144,0.00377326178631005,0.00725072862168675,"1.YOY","1.YOY"
"407",2004,"Striped Bass",0.00041701258973936,1.88895126603865e-09,2139,0.000331826938461611,0.000502198241017108,"1.YOY","1.YOY"
"408",2005,"Striped Bass",0.00149670873808599,2.8126632736945e-08,2142,0.0011679972044851,0.00182542027168688,"1.YOY","1.YOY"
"409",2006,"Striped Bass",0.000789881914409664,2.32204733370286e-08,2143,0.000491211911946194,0.00108855191687313,"1.YOY","1.YOY"
"410",2007,"Striped Bass",0.00155306173118095,1.28494933131957e-07,2140,0.000850476408875023,0.00225564705348688,"1.YOY","1.YOY"
"411",2008,"Striped Bass",0.000432220352689835,3.89698629269823e-09,2142,0.00030986569384094,0.00055457501153873,"1.YOY","1.YOY"
"412",2009,"Striped Bass",0.000600364678544068,1.54878474768832e-08,2140,0.000356442324367182,0.000844287032720954,"1.YOY","1.YOY"
"413",2010,"Striped Bass",0.00104939133689526,1.08244907506203e-08,2135,0.00084547134359499,0.00125331133019553,"1.YOY","1.YOY"
"414",2011,"Striped Bass",0.00057156423036456,3.15501715413893e-09,2094,0.000461471933180152,0.000681656527548969,"1.YOY","1.YOY"
"415",2012,"Striped Bass",0.00333595096358321,4.60927105022383e-07,2143,0.00200527535824058,0.00466662656892585,"1.YOY","1.YOY"
"416",2013,"Striped Bass",0.00047816503716143,4.82935584561568e-09,2136,0.000341957645965073,0.000614372428357786,"1.YOY","1.YOY"
"417",2014,"Striped Bass",0.00554715706733555,1.44778714153335e-06,2132,0.00318880614287276,0.00790550799179834,"1.YOY","1.YOY"
"418",2015,"Striped Bass",0.000847831559304657,1.67091304759596e-08,2134,0.000594474507623741,0.00110118861098557,"1.YOY","1.YOY"
"419",2016,"Striped Bass",0.000268876197249453,1.3298084662674e-09,2132,0.000197401780819426,0.000340350613679479,"1.YOY","1.YOY"
"420",2017,"Striped Bass",0.00217047464175242,9.05985817242328e-08,2135,0.00158052251526095,0.0027604267682439,"1.YOY","1.YOY"
"421",2018,"Striped Bass",0.00151346028205586,1.17295054932158e-08,2137,0.00130118671256889,0.00172573385154282,"1.YOY","1.YOY"
"422",2023,"Striped Bass",0.000399216731919631,3.21042093618082e-09,1793,0.000288162001860834,0.000510271461978428,"1.YOY","1.YOY"
"423",2024,"Striped Bass",0.00307792392152703,1.25157199734727e-07,2025,0.0023845236774393,0.00377132416561477,"1.YOY","1.YOY"
"3771",1974,"Striped Bass",0,0,1675,0,0,"2.YEARLING","2.YEARLING"
"3781",1975,"Striped Bass",0,0,880,0,0,"2.YEARLING","2.YEARLING"
"3791",1976,"Striped Bass",0,0,866,0,0,"2.YEARLING","2.YEARLING"
"3801",1977,"Striped Bass",0,0,818,0,0,"2.YEARLING","2.YEARLING"
"3811",1978,"Striped Bass",0,0,872,0,0,"2.YEARLING","2.YEARLING"
"3821",1979,"Striped Bass",0,0,2136,0,0,"2.YEARLING","2.YEARLING"
"3831",1980,"Striped Bass",3.6364060635846e-05,3.54291508004136e-11,2023,2.46976719180435e-05,4.80304493536485e-05,"2.YEARLING","2.YEARLING"
"3841",1981,"Striped Bass",2.16589937889264e-05,2.98213999954775e-11,1154,1.09556349599127e-05,3.23623526179401e-05,"2.YEARLING","2.YEARLING"
"3851",1982,"Striped Bass",2.96550109381421e-05,2.30316413671324e-10,1000,-9.0300200922427e-08,5.94003220772067e-05,"2.YEARLING","2.YEARLING"
"3861",1983,"Striped Bass",1.00482637360973e-05,2.24875199595544e-11,1199,7.53746175910352e-07,1.93427812962843e-05,"2.YEARLING","2.YEARLING"
"3871",1984,"Striped Bass",5.26775173724987e-05,3.2525227942609e-10,1641,1.73294034674646e-05,8.80256312775328e-05,"2.YEARLING","2.YEARLING"
